id,name,city,zipcode,address,phone,category,category_loc,category_food,price,rating,review_count,price_yelp,rating_yelp,review_count_yelp,price_trip,rating_trip,review_count_trip,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
15,Beverly Soon Tofu,Los Angeles,90006.0,2717 W Olympic Blvd,2133801113.0,korean,korean,other,2.0,4.25,1279,2.0,4.0,1236,1.0,4.5,43,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2230.0,1100.0,2230.0,1100.0,2230.0
16,El Cholo Restaurant,Los Angeles,90006.0,1121 S Western Ave,3237342773.0,mexican,mexican,other,2.0,3.75,1420,2.0,3.5,1144,2.5,4.0,276,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1100.0,2100.0
17,Hodori Restaurant,Los Angeles,90006.0,1001 S Vermont Ave,2133833554.0,korean,korean,other,2.0,3.75,928,2.0,3.5,904,1.0,4.0,24,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0
18,Langer's,Los Angeles,90057.0,704 S Alvarado St,2134838050.0,american,american,other,2.0,4.5,3885,2.0,4.5,3170,2.5,4.5,715,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
19,Tommy's Original Hamburger,Los Angeles,90057.0,2575 Beverly Blvd,2133899060.0,fast food,american,fast food,1.0,4.25,1209,1.0,4.0,1042,1.0,4.5,167,,,,,,,,,,,,,,
20,Soowon Galbi,Los Angeles,90005.0,856 S Vermont Ave,2133659292.0,barbecue,korean,barbecue,2.0,4.5,2290,2.0,4.5,2228,2.5,4.5,62,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2300.0,1130.0,2300.0,1200.0,2230.0
21,Slurpin' Ramen Bar,Los Angeles,90005.0,3500 W 8th St,2133888607.0,japanese,japanese,ramen,2.0,4.5,2267,2.0,4.5,2241,1.0,4.5,26,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0
22,Moodaepo II,Los Angeles,90005.0,3014 W 7th St,2133819990.0,barbecue,korean,barbecue,2.0,4.0,1554,2.0,3.5,1541,,4.5,13,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
23,Oo Kook Korean BBQ,Los Angeles,90005.0,3385 W 8th St,2133855665.0,barbecue,korean,barbecue,2.0,4.0,1529,2.0,4.0,1483,2.5,4.0,46,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0
24,Eight Korean BBQ,Los Angeles,90005.0,863 S Western Ave,2133651750.0,barbecue,korean,barbecue,2.0,4.5,1330,2.0,4.5,1321,2.5,4.5,9,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,200.0,1130.0,200.0,1130.0,2400.0
26,Kobawoo Restaurant,Los Angeles,90005.0,698 S Vermont Ave,2133897300.0,korean,korean,other,2.0,4.5,1026,2.0,4.5,1001,2.5,4.5,25,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0
27,Caffe Concerto,Los Angeles,90005.0,610 S Serrano Ave,2137380909.0,cafe,italian,cafe,2.0,4.25,1028,2.0,4.0,1015,2.5,4.5,13,1000.0,2400.0,1000.0,2400.0,1000.0,2400.0,1000.0,2400.0,1000.0,100.0,900.0,100.0,900.0,2400.0
28,Honey Pig,Los Angeles,90005.0,3400 W 8th St,2133800256.0,barbecue,korean,barbecue,2.0,3.75,903,2.0,3.5,872,2.5,4.0,31,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0
29,Taylor's Steakhouse,Los Angeles,90005.0,3361 W 8th St,2133828449.0,steakhouse,american,steakhouse,3.0,4.0,1037,3.0,4.0,934,4.0,4.0,103,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2230.0,1600.0,2230.0,1600.0,2130.0
30,BCD Tofu House,Los Angeles,90010.0,3575 Wilshire Blvd,2133826677.0,korean,korean,other,2.0,3.75,2323,2.0,3.5,2163,2.5,4.0,160,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0
31,The Boiling Crab,Los Angeles,90010.0,3377 Wilshire Blvd,2133892722.0,seafood,other,seafood,2.0,4.25,2244,2.0,4.0,2055,2.5,4.5,189,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1200.0,2200.0,1200.0,2200.0
32,M Grill,Los Angeles,90010.0,3832 Wilshire Blvd,2133892770.0,barbecue,brazilian,barbecue,3.0,4.0,1697,3.0,4.0,1612,2.5,4.0,85,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0
33,Commissary,Los Angeles,90010.0,3515 Wilshire Blvd,2133683030.0,breakfast & brunch,american,breakfast & brunch,2.0,3.75,1280,2.0,3.5,1133,2.5,4.0,147,700.0,1430.0,1700.0,2300.0,700.0,1430.0,1700.0,2300.0,700.0,1430.0,1700.0,2300.0,700.0,1430.0
34,Myung Dong Kyoja,Los Angeles,90010.0,3630 Wilshire Blvd,2133857789.0,korean,korean,other,2.0,4.0,1061,2.0,4.0,1038,1.0,4.0,23,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
35,Chosun Galbee Restaurant,Los Angeles,90019.0,3330 W Olympic Blvd,3237343330.0,bars,korean,bars,3.0,4.0,1577,3.0,4.0,1446,2.5,4.0,131,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0
36,Gus's World Famous Fried Chicken,Los Angeles,90019.0,1262 Crenshaw Blvd,3234020232.0,american,american,other,2.0,4.0,1064,2.0,4.0,1013,2.5,4.0,51,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2100.0
37,Roscoe's House of Chicken & Waffles,Los Angeles,90019.0,5006 W Pico Blvd,3239344405.0,breakfast & brunch,american,breakfast & brunch,2.0,4.0,2637,2.0,4.0,2407,1.0,4.0,230,800.0,2400.0,800.0,2400.0,800.0,2400.0,800.0,2400.0,800.0,200.0,900.0,200.0,800.0,2400.0
38,Leos Tacos Truck,Los Angeles,90019.0,1515 S La Brea Ave,3233462001.0,mexican,mexican,other,1.0,4.5,1274,1.0,4.5,1256,1.0,4.5,18,900.0,300.0,900.0,300.0,900.0,300.0,900.0,300.0,900.0,400.0,900.0,400.0,900.0,300.0
39,Sky's Gourmet Tacos,Los Angeles,90019.0,5408 W Pico Blvd,3239326253.0,mexican,mexican,other,1.0,4.25,879,1.0,4.0,855,1.0,4.5,24,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
40,Bloom Cafe,Los Angeles,90019.0,5544 W Pico Blvd,3239346900.0,cafe,other,cafe,2.0,4.0,741,2.0,3.5,716,2.5,4.5,25,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0
41,Pips on La Brea,Los Angeles,90019.0,1356 S La Brea Ave,3239547477.0,breakfast & brunch,american,breakfast & brunch,2.0,4.0,381,2.0,4.0,353,2.5,4.0,28,1700.0,2300.0,1700.0,2400.0,1700.0,2400.0,1700.0,100.0,1400.0,100.0,1100.0,1400.0,1700.0,2200.0
42,Brownstone Bistro,Los Angeles,90019.0,5047 W Pico Blvd,3239659400.0,seafood,american,seafood,2.0,4.25,206,2.0,4.0,190,2.5,4.5,16,1600.0,2200.0,1600.0,2200.0,1600.0,2200.0,1600.0,2300.0,1600.0,2300.0,1100.0,1600.0,1600.0,2300.0
43,Paper or Plastik Cafe,Los Angeles,90019.0,5772 W Pico Blvd,3239350268.0,cafe,american,cafe,2.0,3.5,926,2.0,3.0,902,2.5,4.0,24,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2000.0
44,Trejo's Tacos,Los Angeles,90019.0,1048 S La Brea Ave,3239388226.0,mexican,mexican,other,2.0,3.75,1258,2.0,3.5,1168,2.5,4.0,90,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2300.0,800.0,2300.0,800.0,2200.0
45,The Bun Shop,Los Angeles,90004.0,151 N Western Ave,3234681031.0,korean,korean,other,1.0,4.25,1223,1.0,4.0,1204,1.0,4.5,19,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2200.0
46,Village Pizzeria,Los Angeles,90004.0,131 N Larchmont Blvd,3234655566.0,pizza,italian,pizza,2.0,4.25,1303,2.0,4.0,1253,1.0,4.5,50,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2200.0,1130.0,2200.0,1200.0,2100.0,1130.0,2200.0
47,Noshi Sushi,Los Angeles,90004.0,4430 Beverly Blvd,3234693458.0,sushi,japanese,sushi,2.0,4.0,1185,2.0,4.0,1159,2.5,4.0,26,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0
48,Cafe Gratitude,Los Angeles,90004.0,639 N Larchmont Blvd,3235806383.0,cafe,other,cafe,2.0,4.25,2051,2.0,4.0,1826,2.5,4.5,225,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
49,The Original Pantry,Los Angeles,90017.0,877 S Figueroa St,2139729279.0,breakfast & brunch,american,breakfast & brunch,2.0,3.75,3226,2.0,3.5,2477,1.0,4.0,749,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
50,SUGARFISH by sushi nozawa,Los Angeles,90017.0,600 W 7th St,2136273000.0,sushi,japanese,sushi,3.0,4.25,2387,3.0,4.0,2045,2.5,4.5,342,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1200.0,2100.0
51,Takami Sushi and Robata,Los Angeles,90017.0,811 Wilshire Blvd,2132369600.0,sushi,japanese,sushi,3.0,3.75,2035,3.0,3.5,1860,2.5,4.0,175,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0
52,Library Bar,Los Angeles,90017.0,630 W 6th St,2136140053.0,american,american,other,2.0,4.0,1627,2.0,4.0,1592,2.5,4.0,35,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0
53,Industriel,Los Angeles,90017.0,609 S Grand Ave,2134888020.0,american,american,other,2.0,4.25,1210,2.0,4.0,1048,2.5,4.5,162,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1000.0,2300.0,1000.0,2030.0
54,Wokcano - Downtown LA,Los Angeles,90017.0,800 W 7th St,2136232288.0,sushi,japanese,sushi,2.0,3.75,1387,2.0,3.5,1239,2.5,4.0,148,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1200.0,200.0,1200.0,200.0
55,Pacific Dining Car,Los Angeles,90017.0,1310 W 6th St,2134836000.0,steakhouse,american,steakhouse,4.0,3.75,1198,4.0,3.5,1035,4.0,4.0,163,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
56,Gus's Drive-in,Los Angeles,90017.0,1657 W 3rd St,2134838885.0,american,american,other,1.0,4.0,313,1.0,3.5,300,1.0,4.5,13,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0
57,La Parrilla,Los Angeles,90017.0,1300 Wilshire Blvd,2133534980.0,mexican,mexican,other,2.0,3.5,274,2.0,3.0,245,2.5,4.0,29,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1200.0,2000.0,1200.0,2000.0
58,Engine Co. No. 28,Los Angeles,90017.0,644 S Figueroa St,2136246996.0,american,american,other,2.0,3.25,850,2.0,3.0,666,2.5,3.5,184,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0
59,Morton's The Steakhouse,Los Angeles,90017.0,735 S Figueroa St,2135534566.0,seafood,american,seafood,3.0,3.75,693,3.0,3.5,614,4.0,4.0,79,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1700.0,2200.0,1700.0,2200.0
60,800 Degrees Neapolitan Pizzeria,Los Angeles,90017.0,800 Wilshire Blvd,2135423790.0,pizza,italian,pizza,2.0,3.75,595,2.0,3.5,518,2.5,4.0,77,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,2300.0
61,10e Restaurant,Los Angeles,90017.0,811 W 7th St,2134881096.0,mediterranean,mediterranean,other,2.0,4.25,489,2.0,4.0,444,2.5,4.5,45,1100.0,2230.0,1100.0,2230.0,1100.0,2230.0,1100.0,2330.0,1100.0,2330.0,1100.0,2330.0,1100.0,2230.0
62,Miro,Los Angeles,90017.0,888 Wilshire Blvd,2139888880.0,american,american,other,3.0,4.0,349,3.0,4.0,312,2.5,4.0,37,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2400.0,1130.0,2400.0,1100.0,2300.0
63,California Pizza Kitchen,Los Angeles,90017.0,735 S Figueroa St,2132288500.0,pizza,italian,pizza,2.0,3.5,343,2.0,3.0,288,2.5,4.0,55,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2200.0,1130.0,2200.0,1130.0,2100.0
64,Indus by Saffron,Los Angeles,90017.0,735 S Figueroa St,2136881400.0,asian other,indian,other,1.0,4.25,181,1.0,4.0,172,,4.5,9,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,1900.0,1100.0,1900.0
65,Dekkadance,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,pizza,italian,pizza,3.0,4.0,184,3.0,3.5,169,4.0,4.5,15,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0
66,La Boucherie,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,steakhouse,french,steakhouse,4.0,4.25,147,4.0,4.0,123,4.0,4.5,24,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,,
67,Sora,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,sushi,japanese,sushi,2.0,3.75,99,2.0,3.5,91,2.5,4.0,8,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1400.0,2200.0,,
68,Pink's Hot Dogs,West Hollywood,90038.0,709 N La Brea Ave,3239314223.0,fast food,american,fast food,1.0,3.75,7843,1.0,3.5,6427,1.0,4.0,1416,930.0,200.0,930.0,200.0,930.0,200.0,930.0,200.0,930.0,300.0,930.0,300.0,930.0,200.0
69,Osteria Mozza,Los Angeles,90038.0,6602 Melrose Ave,3232970100.0,italian,italian,other,4.0,4.0,3016,4.0,4.0,2418,4.0,4.0,598,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2300.0,1700.0,2300.0,1700.0,2200.0
70,Mario's Peruvian & Seafood,Los Angeles,90038.0,5786 Melrose Ave,3234664181.0,seafood,other,seafood,2.0,4.0,2092,2.0,4.0,1981,2.5,4.0,111,1130.0,2000.0,1130.0,2000.0,1130.0,2000.0,1130.0,2000.0,1130.0,2130.0,1130.0,2130.0,1130.0,2000.0
71,Grub,Los Angeles,90038.0,911 Seward St,3234613663.0,breakfast & brunch,american,breakfast & brunch,2.0,4.0,1831,2.0,4.0,1723,2.5,4.0,108,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,900.0,1500.0,900.0,1500.0
72,Osteria La Buca,Los Angeles,90038.0,5210 Melrose Ave,3234621900.0,pizza,italian,pizza,2.0,4.0,1680,2.0,4.0,1546,2.5,4.0,134,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0
73,Osteria Mamma,Los Angeles,90038.0,5732 Melrose Ave,3232847060.0,italian,italian,other,2.0,4.25,1373,2.0,4.0,1266,2.5,4.5,107,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2300.0,1130.0,2300.0,1700.0,2200.0
74,Franco on Melrose,Los Angeles,90038.0,6919 Melrose Ave,3239343390.0,steakhouse,italian,steakhouse,2.0,4.25,978,2.0,4.0,933,2.5,4.5,45,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1730.0,2300.0,1730.0,2300.0,1730.0,2200.0
75,Perch,Los Angeles,90013.0,448 S Hill St,2138021770.0,american,american,other,3.0,4.25,6144,3.0,4.0,5432,2.5,4.5,712,1600.0,100.0,1600.0,100.0,1600.0,100.0,1600.0,200.0,1600.0,200.0,1000.0,200.0,1000.0,100.0
76,Eggslut,Los Angeles,90013.0,317 S Broadway,2136250292.0,cafe,american,cafe,1.0,4.25,5196,1.0,4.0,4782,1.0,4.5,414,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
77,Baco Mercat,Los Angeles,90013.0,408 S Main St,2136878808.0,mediterranean,mediterranean,other,2.0,4.25,2624,2.0,4.0,2342,2.5,4.5,282,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0
78,Nickel Diner,Los Angeles,90013.0,524 S Main St,2136238301.0,breakfast & brunch,american,breakfast & brunch,2.0,4.25,2481,2.0,4.0,2234,2.5,4.5,247,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0
79,KazuNori,Los Angeles,90013.0,421 S Main St,2134936956.0,sushi,japanese,sushi,2.0,4.5,2039,2.0,4.5,2005,2.5,4.5,34,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2400.0,1130.0,2400.0,1200.0,2200.0
80,Maccheroni Republic,Los Angeles,90013.0,332 S Broadway,2133469725.0,italian,italian,other,2.0,4.25,2230,2.0,4.0,2042,2.5,4.5,188,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0
81,Wurstkuche,Los Angeles,90013.0,800 E 3rd St,2136874444.0,american,american,other,2.0,4.25,8073,2.0,4.0,7585,2.5,4.5,488,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
82,Urth Caffe,Los Angeles,90013.0,451 S Hewitt St,2137974534.0,cafe,american,cafe,2.0,4.25,4781,2.0,4.0,4552,2.5,4.5,229,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,600.0,2300.0
83,Shojin Organic and Natural,Los Angeles,90013.0,333 S Alameda St,2136170305.0,japanese,japanese,other,2.0,4.5,1614,2.0,4.5,1517,2.5,4.5,97,1730.0,2230.0,1730.0,2230.0,1730.0,2230.0,1730.0,2230.0,1730.0,2230.0,1200.0,1500.0,1700.0,2230.0
84,Izakaya Honda Ya,Los Angeles,90013.0,333 S Alameda St,2136251184.0,japanese,japanese,other,2.0,3.75,1326,2.0,3.5,1311,2.5,4.0,15,1730.0,30.0,1730.0,30.0,1730.0,30.0,1730.0,30.0,1730.0,30.0,1730.0,30.0,1700.0,2330.0
85,Zinc Cafe Market & Bar,Los Angeles,90013.0,580 Mateo St,3238255381.0,cafe,american,cafe,2.0,4.25,1357,2.0,4.0,1287,2.5,4.5,70,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2400.0,800.0,2400.0,800.0,2400.0,800.0,2200.0
86,Guisados Dtla,Los Angeles,90013.0,541 S Spring St,2136277656.0,fast food,mexican,fast food,1.0,4.5,1315,1.0,4.5,1264,1.0,4.5,51,900.0,2300.0,900.0,2300.0,900.0,2300.0,900.0,2300.0,900.0,130.0,900.0,130.0,900.0,2100.0
87,Manna Korean BBQ,Los Angeles,90013.0,333 S Alameda St,2136170306.0,barbecue,korean,barbecue,2.0,3.75,1118,2.0,3.5,1076,2.5,4.0,42,1100.0,2330.0,1100.0,2330.0,1100.0,2330.0,1100.0,30.0,1100.0,100.0,1100.0,100.0,1100.0,30.0
88,Blossom Restaurant,Los Angeles,90013.0,426 S Main St,2136231973.0,vietnamese,vietnamese,other,2.0,3.75,1075,2.0,3.5,1025,2.5,4.0,50,1130.0,1430.0,1800.0,2130.0,1130.0,1430.0,1800.0,2130.0,1130.0,1430.0,1800.0,2130.0,1130.0,1430.0
89,The Factory Kitchen,Los Angeles,90013.0,1300 Factory Pl,2139966000.0,italian,italian,other,3.0,4.25,1267,3.0,4.0,1065,2.5,4.5,202,1130.0,1430.0,1730.0,2200.0,1130.0,1430.0,1730.0,2200.0,1130.0,1430.0,1730.0,2200.0,1130.0,1430.0
90,Fisherman's Outlet Restaurant and Market,Los Angeles,90013.0,529 S Central Ave,2136277231.0,seafood,american,seafood,2.0,4.25,982,2.0,4.0,941,2.5,4.5,41,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0
91,Pizzeria Mozza,Los Angeles,90036.0,641 N Highland Ave,3232970101.0,pizza,italian,pizza,2.0,4.0,4386,2.0,4.0,3763,2.5,4.0,623,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0
