id,name,city,zipcode,address,phone,category,category_loc,category_food,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
54,Wokcano - Downtown LA,Los Angeles,90017.0,800 W 7th St,2136232288.0,sushi,japanese,sushi,2.25,3.75,1387,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1200.0,200.0,1200.0,200.0
55,Pacific Dining Car,Los Angeles,90017.0,1310 W 6th St,2134836000.0,steakhouse,american,steakhouse,4.0,3.75,1198,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
56,Gus's Drive-in,Los Angeles,90017.0,1657 W 3rd St,2134838885.0,american,american,other,1.0,4.0,313,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0
57,La Parrilla,Los Angeles,90017.0,1300 Wilshire Blvd,2133534980.0,mexican,mexican,other,2.25,3.5,274,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1200.0,2000.0,1200.0,2000.0
58,Engine Co. No. 28,Los Angeles,90017.0,644 S Figueroa St,2136246996.0,american,american,other,2.25,3.25,850,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0
59,Morton's The Steakhouse,Los Angeles,90017.0,735 S Figueroa St,2135534566.0,seafood,american,seafood,3.5,3.75,693,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1700.0,2200.0,1700.0,2200.0
60,800 Degrees Neapolitan Pizzeria,Los Angeles,90017.0,800 Wilshire Blvd,2135423790.0,pizza,italian,pizza,2.25,3.75,595,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,2300.0
61,10e Restaurant,Los Angeles,90017.0,811 W 7th St,2134881096.0,mediterranean,mediterranean,other,2.25,4.25,489,1100.0,2230.0,1100.0,2230.0,1100.0,2230.0,1100.0,2330.0,1100.0,2330.0,1100.0,2330.0,1100.0,2230.0
62,Miro,Los Angeles,90017.0,888 Wilshire Blvd,2139888880.0,american,american,other,2.75,4.0,349,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2400.0,1130.0,2400.0,1100.0,2300.0
63,California Pizza Kitchen,Los Angeles,90017.0,735 S Figueroa St,2132288500.0,pizza,italian,pizza,2.25,3.5,343,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2200.0,1130.0,2200.0,1130.0,2100.0
64,Indus by Saffron,Los Angeles,90017.0,735 S Figueroa St,2136881400.0,asian other,indian,other,1.0,4.25,181,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,1900.0,1100.0,1900.0
65,Dekkadance,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,pizza,italian,pizza,3.5,4.0,184,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0
66,La Boucherie,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,steakhouse,french,steakhouse,4.0,4.25,147,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,,
67,Sora,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,sushi,japanese,sushi,2.25,3.75,99,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1400.0,2200.0,,
68,Pink's Hot Dogs,West Hollywood,90038.0,709 N La Brea Ave,3239314223.0,fast food,american,fast food,1.0,3.75,7843,930.0,200.0,930.0,200.0,930.0,200.0,930.0,200.0,930.0,300.0,930.0,300.0,930.0,200.0
69,Osteria Mozza,Los Angeles,90038.0,6602 Melrose Ave,3232970100.0,italian,italian,other,4.0,4.0,3016,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2300.0,1700.0,2300.0,1700.0,2200.0
70,Mario's Peruvian & Seafood,Los Angeles,90038.0,5786 Melrose Ave,3234664181.0,seafood,other,seafood,2.25,4.0,2092,1130.0,2000.0,1130.0,2000.0,1130.0,2000.0,1130.0,2000.0,1130.0,2130.0,1130.0,2130.0,1130.0,2000.0
71,Grub,Los Angeles,90038.0,911 Seward St,3234613663.0,breakfast & brunch,american,breakfast & brunch,2.25,4.0,1831,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,900.0,1500.0,900.0,1500.0
72,Osteria La Buca,Los Angeles,90038.0,5210 Melrose Ave,3234621900.0,pizza,italian,pizza,2.25,4.0,1680,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0
73,Osteria Mamma,Los Angeles,90038.0,5732 Melrose Ave,3232847060.0,italian,italian,other,2.25,4.25,1373,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2300.0,1130.0,2300.0,1700.0,2200.0
74,Franco on Melrose,Los Angeles,90038.0,6919 Melrose Ave,3239343390.0,steakhouse,italian,steakhouse,2.25,4.25,978,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1730.0,2300.0,1730.0,2300.0,1730.0,2200.0
75,Perch,Los Angeles,90013.0,448 S Hill St,2138021770.0,american,american,other,2.75,4.25,6144,1600.0,100.0,1600.0,100.0,1600.0,100.0,1600.0,200.0,1600.0,200.0,1000.0,200.0,1000.0,100.0
76,Eggslut,Los Angeles,90013.0,317 S Broadway,2136250292.0,cafe,american,cafe,1.0,4.25,5196,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
77,Baco Mercat,Los Angeles,90013.0,408 S Main St,2136878808.0,mediterranean,mediterranean,other,2.25,4.25,2624,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0
78,Nickel Diner,Los Angeles,90013.0,524 S Main St,2136238301.0,breakfast & brunch,american,breakfast & brunch,2.25,4.25,2481,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0
79,KazuNori,Los Angeles,90013.0,421 S Main St,2134936956.0,sushi,japanese,sushi,2.25,4.5,2039,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2400.0,1130.0,2400.0,1200.0,2200.0
80,Maccheroni Republic,Los Angeles,90013.0,332 S Broadway,2133469725.0,italian,italian,other,2.25,4.25,2230,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0
81,Wurstkuche,Los Angeles,90013.0,800 E 3rd St,2136874444.0,american,american,other,2.25,4.25,8073,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
82,Urth Caffe,Los Angeles,90013.0,451 S Hewitt St,2137974534.0,cafe,american,cafe,2.25,4.25,4781,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,600.0,2300.0
83,Shojin Organic and Natural,Los Angeles,90013.0,333 S Alameda St,2136170305.0,japanese,japanese,other,2.25,4.5,1614,1730.0,2230.0,1730.0,2230.0,1730.0,2230.0,1730.0,2230.0,1730.0,2230.0,1200.0,1500.0,1700.0,2230.0
84,Izakaya Honda Ya,Los Angeles,90013.0,333 S Alameda St,2136251184.0,japanese,japanese,other,2.25,3.75,1326,1730.0,30.0,1730.0,30.0,1730.0,30.0,1730.0,30.0,1730.0,30.0,1730.0,30.0,1700.0,2330.0
85,Zinc Cafe Market & Bar,Los Angeles,90013.0,580 Mateo St,3238255381.0,cafe,american,cafe,2.25,4.25,1357,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2400.0,800.0,2400.0,800.0,2400.0,800.0,2200.0
86,Guisados Dtla,Los Angeles,90013.0,541 S Spring St,2136277656.0,fast food,mexican,fast food,1.0,4.5,1315,900.0,2300.0,900.0,2300.0,900.0,2300.0,900.0,2300.0,900.0,130.0,900.0,130.0,900.0,2100.0
87,Manna Korean BBQ,Los Angeles,90013.0,333 S Alameda St,2136170306.0,barbecue,korean,barbecue,2.25,3.75,1118,1100.0,2330.0,1100.0,2330.0,1100.0,2330.0,1100.0,30.0,1100.0,100.0,1100.0,100.0,1100.0,30.0
88,Blossom Restaurant,Los Angeles,90013.0,426 S Main St,2136231973.0,vietnamese,vietnamese,other,2.25,3.75,1075,1130.0,1430.0,1800.0,2130.0,1130.0,1430.0,1800.0,2130.0,1130.0,1430.0,1800.0,2130.0,1130.0,1430.0
89,The Factory Kitchen,Los Angeles,90013.0,1300 Factory Pl,2139966000.0,italian,italian,other,2.75,4.25,1267,1130.0,1430.0,1730.0,2200.0,1130.0,1430.0,1730.0,2200.0,1130.0,1430.0,1730.0,2200.0,1130.0,1430.0
90,Fisherman's Outlet Restaurant and Market,Los Angeles,90013.0,529 S Central Ave,2136277231.0,seafood,american,seafood,2.25,4.25,982,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0,1000.0,1530.0
91,Pizzeria Mozza,Los Angeles,90036.0,641 N Highland Ave,3232970101.0,pizza,italian,pizza,2.25,4.0,4386,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0
92,Republique,Los Angeles,90036.0,624 S La Brea Ave,3103626115.0,breakfast & brunch,american,breakfast & brunch,2.25,4.25,3934,800.0,1500.0,1730.0,2200.0,800.0,1500.0,1730.0,2200.0,800.0,1500.0,1730.0,2200.0,800.0,1500.0
93,Genwa,Los Angeles,90036.0,5115 Wilshire Blvd,3235490760.0,barbecue,korean,barbecue,2.25,4.5,2648,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1200.0,2200.0,1200.0,2200.0
94,Animal,Los Angeles,90036.0,435 N Fairfax Ave,3237829225.0,breakfast & brunch,american,breakfast & brunch,3.5,4.25,3369,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2300.0,1030.0,1430.0,1800.0,2300.0
95,Canter's Deli,Los Angeles,90036.0,419 N Fairfax Ave,3236512030.0,american,american,other,2.25,3.75,3726,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
96,Bludsos,Los Angeles,90036.0,609 N La Brea Ave,3239312583.0,barbecue,american,barbecue,2.25,4.25,1561,1130.0,1500.0,1700.0,2200.0,1130.0,1500.0,1700.0,2200.0,1130.0,1500.0,1700.0,2200.0,1130.0,1500.0
97,Maggiano's - Farmers Market,Los Angeles,90036.0,189 The Grove Dr,3239659665.0,bars,italian,bars,2.25,4.0,1719,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1100.0,2300.0,1030.0,2200.0
98,Marmalade Cafe - Farmers Market,Los Angeles,90036.0,6333 W 3rd St,3239540088.0,cafe,american,cafe,2.25,4.0,1623,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2200.0,900.0,2200.0,900.0,2100.0
99,Pampas Grill,Los Angeles,90036.0,6333 W 3rd St,3239311928.0,barbecue,brazilian,barbecue,1.5,4.25,1273,1030.0,2100.0,1030.0,2100.0,1030.0,2100.0,1030.0,2100.0,1030.0,2130.0,1030.0,2130.0,1030.0,2030.0
100,Umami Burger,Los Angeles,90036.0,189 The Grove Dr,3239548626.0,burger,american,burger,2.25,3.75,1255,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2400.0,1130.0,2400.0,1130.0,2300.0
101,Mendocino Farms,Los Angeles,90036.0,175 S Fairfax Ave,3239344261.0,american,american,other,1.5,4.5,1024,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0
102,Andre's Italian Restaurant,Los Angeles,90036.0,6332 W 3rd St,3239351246.0,pizza,italian,pizza,1.0,4.25,1028,1100.0,2030.0,1100.0,2030.0,1100.0,2030.0,1100.0,2030.0,1100.0,2030.0,1100.0,2030.0,1100.0,2030.0
103,Wood Ranch BBQ & Grill,Los Angeles,90036.0,189 The Grove Dr,3239376800.0,barbecue,american,barbecue,2.25,3.75,1075,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1130.0,2300.0,1130.0,2200.0
104,Loteria Grill,Los Angeles,90036.0,6333 W 3rd St,3239302211.0,mexican,mexican,other,2.25,3.75,816,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2200.0,900.0,2200.0,900.0,2000.0
105,Angelini Osteria,Los Angeles,90036.0,7313 Beverly Blvd,3232970070.0,italian,italian,other,2.75,4.5,1888,1200.0,1430.0,1730.0,2230.0,1200.0,1430.0,1730.0,2230.0,1200.0,1430.0,1730.0,2230.0,1200.0,1430.0
106,The Golden State,Los Angeles,90036.0,426 N Fairfax Ave,3237828331.0,burger,american,burger,2.25,4.25,1432,1200.0,2100.0,1200.0,2200.0,1200.0,2200.0,1200.0,2200.0,1200.0,2200.0,1200.0,2200.0,1200.0,2100.0
