id,name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
b33,Julienne,American,Cafe,2649 Mission St,San Marino,91108,6264412299,2.5,4.5,156,,,700,1045,700,1045,700,1045,700,1045,700,1045,730,1100
b34,Raffi's Place Restaurant,Mediterranean,Middle Eastern,211 E Broadway,Glendale,91205,8182407411,2.5,4.5,319,1130,2100,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200
b35,Aliki's Greek Taverna,Mediterranean,Greek,5862 Arbor Vitae St,Los Angeles,90045,3106459555,2.5,4.5,329,,,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200
b36,Wurstkuche,American,German,800 E 3rd St,Los Angeles,90013,2136874444,2.5,4.5,488,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200
b37,La Grande Orange Cafe,American,Vegetarian Friendly,260 S Raymond Ave,Pasadena,91105,6263564444,2.5,4.5,493,1000,2100,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1000,2200
b38,Ayara Thai Cuisine,Asian,Thai,6245 W 87th St,Los Angeles,90045,3104108848,2.5,4.5,207,1100,2200,1030,2200,1030,2200,1030,2200,1030,2200,1030,1200,1100,1200
b39,Cassell's Hamburgers,American,,3600 W 6th St,Los Angeles,90020,2133875502,2.5,4.5,163,800,2300,800,2300,800,2300,800,2300,800,2300,800,1400,800,1400
b40,The Terrace,American,Seafood,8358 W Sunset Blvd,West Hollywood,90069,3236547100,2.5,4.5,136,1800,2300,1800,2300,1800,2300,1800,2300,1800,2300,1800,2330,1800,2330
b41,Nickel Diner,American,Vegetarian Friendly,524 S Main St,Los Angeles,90013,2136238301,2.5,4.5,247,800,1530,,,800,1530,800,1530,800,1530,800,1530,800,1530
b42,Perch,French,American,448 S Hill St,Los Angeles,90013,2138021770,2.5,4.5,712,,,,,,,,,,,,,,
b43,Craft Los Angeles,American,Vegetarian Friendly,10100 Constellation Blvd,Los Angeles,90067,3102794180,4,4.5,472,,,1130,1430,1130,1430,1130,1430,1130,1430,1130,1430,1730,2130
b44,Joan's on Third,American,Cafe,8350 W 3rd St,Los Angeles,90048,3236552285,2.5,4.5,466,800,1800,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000
b45,Baco Mercat,Spanish,Middle Eastern,408 S Main St,Los Angeles,90013,2136877000,2.5,4.5,282,1700,2200,1130,1430,1130,1430,1130,1430,1130,1430,1130,1500,1130,1500
b46,Vivian's Millenium Cafe,American,Cafe,10968 Ventura Blvd,Los Angeles,91604,8187628710,2.5,4.5,132,800,1530,800,1530,800,1530,800,1530,800,1530,800,1530,800,1530
b47,Truxton's American Bistro,American,Vegetarian Friendly,8611 Truxton Ave,Los Angeles,90045,3104178789,2.5,4.5,206,900,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,900,2200
b48,Tatsu Ramen,Japanese,Asian,2123 Sawtelle Blvd,Los Angeles,90025,3106842889,2.5,4.5,110,1100,200,1100,200,1100,200,1100,200,1100,300,1100,300,1100,300
b49,The Factory Kitchen,Italian,Vegetarian Friendly,1300 Factory Pl Ste 101,Los Angeles,90013,2139966000,2.5,4.5,202,1730,2200,1730,2200,1730,2230,1730,2230,1730,2230,1730,2300,1730,2300
b50,Cleo,Mediterranean,Middle Eastern,1717 Vine St,Los Angeles,90028,3239621711,2.5,4.5,379,1800,2300,1800,2300,1800,2300,1800,2300,1800,2300,1800,1200,1800,1200
b51,Bestia Restaurant,Italian,Vegetarian Friendly,2121 E 7th Pl,Los Angeles,90021,2135145724,4,4.5,488,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,1700,1200,1700,1200
b52,Houston's,American,Sushi,320 S Arroyo Pkwy,Pasadena,91105,6265776001,2.5,4.5,542,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200
b53,SUGARFISH by sushi nozawa,Japanese,Seafood,600 W 7th St,Los Angeles,90017,2136273000,2.5,4.5,342,2400,2100,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200
b54,The Butcher's Daughter,American,Vegetarian Friendly,1205 Abbot Kinney Blvd,Los Angeles,90291,3109813004,2.5,4.5,240,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
b55,Animal,American,,435 N Fairfax Ave,Los Angeles,90036,3237829225,4,4.5,259,1800,2300,1800,2300,1800,2300,1800,2300,1800,2300,1800,100,1800,100
b56,Russell's,American,Vegetarian Friendly,30 N Fair Oaks Ave,Pasadena,91103,6265781404,2.5,4.5,325,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
b57,26 Beach Cafe,American,Vegetarian Friendly,3100 Washington Blvd,Los Angeles,90292,3108237526,2.5,4.5,242,800,2100,1000,2130,1000,2130,1000,2130,1000,2130,1000,2200,800,2200
b58,Monsieur Marcel's,French,Vegetarian Friendly,6333 W 3rd St,Los Angeles,90036,3239397792,2.5,4.5,190,1030,2030,1100,2130,1100,2130,1100,2130,1100,2130,1100,2130,1030,2130
b59,Off Vine,American,Vegetarian Friendly,6263 Leland Way,Los Angeles,90028,3239621900,2.5,4.5,253,1030,2200,1130,2200,1130,2230,1130,2230,1130,2230,1130,2230,1030,2230
b60,Eggslut,American,Cafe,317 S Broadway,Los Angeles,90013,2136250292,1,4.5,414,800,1600,800,1600,800,1600,800,1600,800,1600,800,1600,800,1600
b61,Bossa Nova,Italian,South American,7181 W Sunset Blvd,Los Angeles,90046,3234367999,2.5,4.5,419,1100,330,1100,330,1100,330,1100,330,1100,330,1100,330,1100,330
b62,Baby Blues BBQ,American,Barbecue,444 Lincoln Blvd,Los Angeles,90291,3103967675,2.5,4.5,309,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130,2200,1130,2200
b63,Gus's Barbecue,American,Barbecue,808 Fair Oaks Ave,South Pasadena,91030,6267993251,2.5,4.5,206,830,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2300,830,2300
b64,Guisados,Mexican,Latin,1261 W Sunset Blvd,Los Angeles,90026,2132507600,1,4.5,106,900,1700,1030,2200,1030,2200,1030,2200,1030,2200,1030,2300,1030,2300
b65,Sushi A Go Go,Japanese,International,6333 W 3rd St,Los Angeles,90036,3239307874,1,4.5,739,1000,1900,900,2100,900,2100,900,2100,900,2100,900,2100,900,2000
b66,The Ivy,American,Vegetarian Friendly,113 N Robertson Blvd,Los Angeles,90048,3102748303,4,4,1775,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
b67,Good Neighbor,American,Vegetarian Friendly,3701 Cahuenga Blvd,Los Angeles,91604,8184576050,1,4.5,115,700,1500,700,1500,700,1500,700,1500,700,1500,700,1500,700,1500
b68,Gale's Italian Restaurant and Bar,Italian,Vegetarian Friendly,452 S Fair Oaks Ave,Pasadena,91105,6264326705,2.5,4.5,327,1700,2100,,,1130,2100,1130,2100,1130,2100,1130,2200,1130,2200
b69,Alcove Cafe & Bakery,American,Cafe,1929 Hillhurst Ave,Los Angeles,90027,3236440100,2.5,4.5,296,700,1200,600,1200,600,1200,600,1200,600,100,600,100,600,100
b70,RockSugar Pan Asian Kitchen,Chinese,Asian,10250 Santa Monica Blvd,Los Angeles,90067,3105529988,2.5,4.5,416,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1130,2300
b71,California Pizza Kitchen,Italian,American,6801 Hollywood Blvd,Los Angeles,90028,3234602080,2.5,4.5,600,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1130,2300
b72,A.O.C.,Vegetarian Friendly,Vegan Options,8700 W 3rd St,Los Angeles,90048,3108599859,2.5,4.5,392,1730,2200,1800,2200,1800,2200,1800,2200,1800,2200,1800,2300,1730,2300
b73,Musso & Frank Grill,Steakhouse,American,6667 Hollywood Blvd,Los Angeles,90028,3234677788,4,4.5,912,1600,2100,,,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300
b74,Granville,American,Vegetarian Friendly,807 Americana Way,Glendale,91210,8185500472,2.5,4.5,161,900,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2300,900,2300
b75,Urth Caffe,American,Cafe,451 S Hewitt St,Los Angeles,90013,2137974534,2.5,4.5,229,600,2300,600,2300,600,2300,600,2300,600,2300,600,1200,600,1200
b76,Stout Burgers & Beers,American,,1544 N Cahuenga Blvd,Los Angeles,90028,3234693801,2.5,4.5,143,1130,400,1130,400,1130,400,1130,400,1130,400,1130,400,1130,400
b77,Getty Center Restaurant,American,Vegetarian Friendly,1200 Getty Center Dr,Los Angeles,90049,3104406810,4,4.5,575,1100,1500,,,1130,1430,1130,1430,1130,1430,1130,1500,1130,1500
b78,Culina,Italian,Vegetarian Friendly,300 S Doheny Dr,Los Angeles,90048,3108604000,4,4.5,244,1000,1400,1800,2230,1800,2230,1800,2230,630,1430,630,1430,630,1430
b79,Pizzeria Mozza,Italian,Pizza,641 N Highland Ave,Los Angeles,90036,3232970101,2.5,4,623,2400,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400,1200
b80,25 Degrees,American,Vegetarian Friendly,7000 Hollywood Blvd,Los Angeles,90028,3237857244,2.5,4.5,690,1200,2200,,,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359
b81,In-N-Out Burgers,American,Fast Food,13425 Washington Blvd,Los Angeles,90292,8007861000,1,4.5,214,1030,100,1030,100,1030,100,1030,100,1030,100,1030,130,1030,130
b82,The Boiling Crab,Seafood,,3377 Wilshire Blvd,Los Angeles,90010,2133892722,2.5,4.5,189,2400,2200,1500,2200,1500,2200,1500,2200,1500,2200,1500,2200,2400,2200
b83,DeSano Pizza Bakery,Italian,Pizza,4959 Santa Monica Blvd,Los Angeles,90029,3239137000,1,4.5,95,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200
b84,Yang Chow,Chinese,Asian,819 N Broadway,Los Angeles,90012,2136250811,2.5,4.5,307,1130,2130,1130,2130,1130,2130,1130,2130,1130,2130,1130,2230,1130,2230
b85,Katsuya,Japanese,Sushi,6300 Hollywood Blvd,Los Angeles,90028,3238718777,4,4.5,479,1700,2200,1700,2200,1700,2200,1700,2200,1130,1430,1130,1430,1700,2300
b86,Cafe Bizou,French,American,14016 Ventura Blvd,Los Angeles,91423,8187883536,2.5,4.5,240,1100,2200,1700,1900,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200
b87,Canter's Deli,American,Vegetarian Friendly,419 N Fairfax Ave,Los Angeles,90036,3236512030,2.5,4,638,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359
b88,Ca' Del Sole,Italian,Vegetarian Friendly,4100 Cahuenga Blvd,Los Angeles,91602,8189854669,2.5,4.5,156,1100,2100,1130,1500,1130,1500,1130,1500,1130,1500,1130,1500,1700,2230
b89,Daikokuya,Japanese,Asian,2208 Sawtelle Blvd,Los Angeles,90064,3105754999,1,4.5,226,1100,2300,1100,1200,1100,1200,1100,1200,1100,1200,1100,100,1100,100
b90,Arroyo Chop House,American,Steakhouse,536 S Arroyo Pkwy,Pasadena,91105,6265777463,4,4.5,208,1700,2130,1700,2130,1700,2130,1700,2130,1700,2130,1700,2200,1700,2200
b91,The Counter Downtown L.A.,American,Gluten Free Options,725 W 7th St,Los Angeles,90017,2132287800,2.5,4.5,213,1100,2200,1100,2300,1100,2300,1100,2300,1100,2300,1100,1200,1100,1200
b92,Rainbow Bar & Grill,American,,9015 W Sunset Blvd,Los Angeles,90069,3102784232,2.5,4.5,380,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200
b93,Crossroads,American,Vegetarian Friendly,8284 Melrose Ave,Los Angeles,90046,3237829245,4,4.5,230,1700,2200,1130,1430,1130,1430,1130,1430,1130,1430,1130,1430,1700,100
b94,Pink's Hot Dogs,American,Fast Food,709 N La Brea Ave,West Hollywood,90038,3239314223,1,4,1416,930,200,930,200,930,200,930,200,930,200,930,300,930,300
b95,Ruby's Diner,American,Vegetarian Friendly,100 Citadel Dr Ste 222,Los Angeles,90040,3233827829,2.5,4.5,223,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
b96,Fogo de Chao Brazilian Steakhouse,Steakhouse,Gluten Free Options,800 S Figueroa St,Los Angeles,90017,2132284300,4,4.5,205,1130,1400,1130,1400,1130,1400,1130,1400,1130,1400,1130,1400,1130,2230
b97,Cafe Santorini,Mediterranean,Greek,64 W Union St,Pasadena,91103,6265644200,2.5,4.5,385,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,1200,1100,1200
b98,Drago Centro,Italian,Gluten Free Options,525 S Flower St Ste 120,Los Angeles,90071,2132288998,4,4,251,1700,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1700,2200
b99,The Front Yard,American,Gluten Free Options,4222 Vineland Ave,Los Angeles,91602,8182557290,2.5,4.5,420,600,1200,600,1200,600,1200,600,1200,600,1200,600,100,600,100
b100,In-N-Out Burger,American,Fast Food,7009 W Sunset Blvd,West Hollywood,90028,8007861000,1,4,786,1030,100,1030,100,1030,100,1030,100,1030,100,1030,130,1030,130
b101,Flake,American,Cafe,513 Rose Ave,Los Angeles,90291,3103962333,1,4.5,81,700,1530,700,1530,700,1530,700,1530,700,1530,700,1530,700,1530
b102,Genwa Korean BBQ,Barbecue,Asian,170 N La Cienega Blvd,Beverly Hills,90211,3108540046,2.5,4.5,100,2400,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,2400,2200
b103,The Little Door,French,Mediterranean,8164 W 3rd St,Los Angeles,90048,3239511210,4,4.5,241,1800,2330,1800,2330,1800,2330,1800,1230,1800,1230,1800,130,1800,130
b104,Apple Pan,American,Fast Food,10801 W Pico Blvd,Los Angeles,90064,3104753585,1,4,312,1100,1200,,,1100,1200,1100,1200,1100,1200,1100,1200,1100,1200
b105,Otium Restaurant,American,International,222 S Hope St,Los Angeles,90012,2139358500,4,4,287,1700,2200,,,1130,1500,1130,1500,1130,1500,1130,1500,1700,2300
b106,Mohawk Bend,American,Vegetarian Friendly,2141 W Sunset Blvd,Los Angeles,90026,2134832337,2.5,4.5,128,930,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400,200,930,200
b107,Venice Ale House,American,,2 Rose Ave,Los Angeles,90291,3103148253,2.5,4,364,900,1200,1000,1200,1000,1200,1000,1200,1000,1200,1000,1200,900,1200
b108,El Tepeyac,Mexican,Latin,812 N Evergreen Ave,Los Angeles,90033,3232678668,1,4.5,202,600,2145,600,2000,600,2000,600,2145,600,2145,600,2300,600,2300
b109,Spice Affair,Indian,Asian,50 N La Cienega Blvd,Beverly Hills,90211,3104006800,4,4.5,149,1130,1430,1130,1430,1130,1430,1130,1430,1130,1430,1130,1430,1130,1430
b110,El Compadre,Mexican,Latin,7408 W Sunset Blvd,Los Angeles,90046,3238747924,2.5,4.5,246,1130,200,1130,200,1130,200,1130,200,1130,200,1130,200,1130,200
b111,Wurstkuche,German,,625 Lincoln Blvd,Los Angeles,90291,2136874444,2.5,4.5,102,1100,1200,1100,1200,1100,1200,1100,1200,1100,1200,1100,1200,1100,1200
b112,WP24,Chinese,Asian,"The Ritz-Carlton, 24th Floor",Los Angeles,,2137438824,4,4,272,,,,,1730,2130,1730,2130,1730,2130,1730,2130,1730,2130
b113,Karl Strauss Brewing Company,American,,100 Universal City Plaza,Los Angeles,,8187532337,2.5,4,208,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2300,1100,2300
b114,Umami Burger,American,Vegetarian Friendly,1520 N Cahuenga Blvd,Los Angeles,90028,3234693100,2.5,4,407,1100,2100,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200
b115,Bubba Gump Shrimp Co.,American,Seafood,100 Universal City Plaza,Los Angeles,,8187534867,2.5,4,992,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,1200,1100,1200
b116,Wood Ranch BBQ & Grill,American,Barbecue,189 The Grove Dr,Los Angeles,90036,3239376800,2.5,4,250,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1130,2300
b117,Shake Shack,American,Fast Food,6201 Hollywood Blvd,Los Angeles,90028,3235937763,2.5,4.5,74,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300
b118,Pann's,American,Delicatessen,6710 La Tijera Blvd,Los Angeles,90045,3237763770,2.5,4.5,176,800,1600,700,1500,700,1500,700,1500,700,1500,700,1500,700,1500
b119,The Cheesecake Factory,American,Vegetarian Friendly,511 Americana Way,Glendale,91210,8185507505,2.5,4,222,1000,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,1200,1100,1200
b120,Guisados,Mexican,Latin,2100 E Cesar E Chavez Ave,Los Angeles,90033,3232647201,1,4.5,80,1030,1700,1030,2000,2230,2000,1030,2000,1030,2000,1030,2000,1030,2000
b121,Union,Italian,Vegetarian Friendly,37 E Union St,Pasadena,91103,6267955841,4,4.5,141,1500,2100,,,1700,2200,1700,2200,1700,2200,1700,2300,1700,2300
b122,Superba Food + Bread,American,Cafe,1900 Lincoln Blvd,Los Angeles,90291,3109075075,2.5,4.5,115,700,2200,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
b123,Cafe Pinot,American,Gluten Free Options,700 W 5th St,Los Angeles,90071,2132396500,4,4.5,185,1630,2000,1130,1430,1130,1430,1130,1430,1130,1430,1130,1430,1700,2130
b124,Roscoe's House of Chicken & Waffles,American,,1514 N Gower St,Los Angeles,90028,3234667453,1,4,727,800,1200,830,1200,830,1200,830,1200,830,1200,830,400,800,400
b125,Morton's - The Steakhouse,American,Steakhouse,435 S La Cienega Blvd,Los Angeles,90048,3102461501,4,4,259,1700,2200,1700,2200,1700,2200,1700,2200,1700,2200,1700,2300,1700,2300
b126,Hard Rock Cafe Hollywood,American,Vegetarian Friendly,100 Universal City Plaza,Los Angeles,,8186227625,2.5,4,858,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2300,1100,2300
b127,James Beach,American,Gluten Free Options,60 N Venice Blvd,Los Angeles,90291,3108235396,2.5,4.5,216,1800,2230,1800,2230,1800,2230,1800,2230,1800,100,1800,100,1800,100
b128,Matsuhisa,Japanese,Sushi,129 N La Cienega Blvd,Beverly Hills,90211,3106599639,4,4.5,361,1745,2215,1745,2215,1745,2215,1745,2215,1745,2215,1745,2215,1745,2215
b129,Blu Jam Cafe,American,Cafe,15045 Ventura Blvd,Los Angeles,91403,8189061955,2.5,4.5,159,800,1600,800,1500,800,1500,800,1500,800,1500,800,1500,800,1600
b130,Cecconi's,Italian,Vegetarian Friendly,8764 Melrose Ave,Los Angeles,90069,3104322000,4,4,440,800,2300,800,1200,800,1200,800,1200,800,100,800,100,800,100
b131,Osteria Mozza,Italian,Vegetarian Friendly,6602 Melrose Ave,Los Angeles,90038,3232970100,4,4,598,1700,2200,1730,2200,1730,2200,1730,2200,1730,2200,1730,2300,1700,2300
b132,The Bar at Hotel Bel-Air,,,701 Stone Canyon Rd,Los Angeles,90077,3104721211,4,4.5,104,,,,,,,,,,,,,,
b133,Industriel,American,International,609 S Grand Ave,Los Angeles,90017,2134888020,2.5,4.5,162,1000,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2300,1000,2300
b134,Fogo de Chao Brazilian Steakhouse,Steakhouse,Latin,133 N La Cienega Blvd,Beverly Hills,90211,3102897755,4,4.5,488,1130,1400,1130,1400,1130,1400,1130,1400,1130,1400,1130,1400,1130,2230
b135,TART,American,Vegetarian Friendly,Farmer's Daughter,Los Angeles,,3235562608,2.5,4,192,1700,2100,1700,2100,700,2100,700,2100,700,2100,700,1500,1700,2300
b136,Urth Caffe,Cafe,Healthy,8565 Melrose Ave,West Hollywood,90069,3106590628,2.5,4.5,533,600,2300,600,2300,600,2300,600,2300,600,2300,600,1200,600,1200
b137,Yard House,American,,800 W Olympic Blvd,Los Angeles,90015,2137459273,2.5,4,566,1100,1200,1100,1200,1100,1200,1100,1200,1100,1200,1100,100,1100,100
b138,The Original Pantry,American,,877 S Figueroa St,Los Angeles,90017,2139729279,1,4,749,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359
b139,IHOP,American,,7006 W Sunset Blvd,Los Angeles,90028,3234668370,1,4,232,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359,1200,2359
b140,Roscoe's House of Chicken & Waffles,American,,5006 W Pico Blvd,Los Angeles,90019,3239344405,1,4,230,800,1200,800,1200,800,1200,800,1200,800,1200,800,200,800,200
b141,Sushi Katsu-ya,Japanese,Sushi,11680 Ventura Blvd,Los Angeles,91604,8189856976,2.5,4.5,136,1700,2130,1130,2200,1130,2200,1130,2200,1130,2200,1130,2230,2400,2230
b142,Lawry's the Prime Rib,American,Steakhouse,100 N La Cienega Blvd,Beverly Hills,90211,3106522827,4,4.5,649,1600,2130,1700,2200,1700,2200,1700,2200,1700,2200,1700,2200,1630,2300
b143,Napa Valley Grille,American,Seafood,1100 Glendon Ave,Los Angeles,90024,3108243322,2.5,4,242,1100,2300,1130,1200,1130,1200,1130,1200,1130,1200,1130,1200,1100,1200
