id,name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fir_close,hours_sat_open,hours_sat_close
a11,Quarters Korean BBQ,korean,barbeque,3465 W 6th St,Los Angeles,90020,2133658111,2,4,1849,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200
a12,El Taurino,mexican,,1104 S Hoover St,Los Angeles,90006,2137389197,1,3.5,1868,830,300,830,300,830,300,830,2400,2400,2400,2400,2400,2400,2400
a13,KyoChon,korean,chicken wings,3833 W 6th St,Los Angeles,90020,2137399292,2,3.5,1819,1100,2245,1100,2245,1100,2245,1100,2245,1100,145,1100,145,1100,2245
a14,Han Bat Shul Lung Tang,korean,comfort food,4163 W 5th St,Los Angeles,90020,2133839499,1,4.5,1725,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200
a15,Papa Cristo's,greek,mediterranean,2771 W Pico Blvd,Los Angeles,90006,3237372970,2,4.5,1685,930,1500,930,2000,930,2000,930,2000,930,2000,900,1600,,
a16,Dino's Chicken and Burgers,burgers,mexican,2575 W Pico Blvd,Los Angeles,90006,2133803554,1,4,1743,600,2300,600,2300,600,2300,600,2300,600,2400,600,2400,700,2300
a17,M Grill,brazilian,buffets,3832 Wilshire Blvd,Los Angeles,90010,2133892770,3,4,1612,1130,1400,1730,2100,1130,1400,1730,2100,1130,1400,1730,2100,1130,1400
a18,Moodaepo II,korean,barbeque,3014 W 7th St,Los Angeles,90005,2133819990,2,3.5,1541,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200
a19,The Grilled Cheese Truck,food trucks,american (traditional),,Los Angeles,90001,8183451875,1,3.5,1511,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1000,2300,1000,2100
a20,Guelaguetza Restaurante,mexican,,3014 W Olympic Blvd,Los Angeles,90006,2134270608,2,4,1552,900,2200,900,2200,900,2200,900,2200,900,2300,800,2300,800,2200
a21,Chosun Galbee,korean,bars,3330 W Olympic Blvd,Los Angeles,90019,3237343330,3,4,1446,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300
a22,Oo-Kook Korean BBQ,korean,barbeque,3385 W 8th St,Los Angeles,90005,2133855665,2,4,1483,1100,2400,1100,2400,1100,2400,1100,2400,1100,2400,1100,2400,1100,2400
a23,Park's BBQ,barbeque,korean,955 S Vermont Ave,Los Angeles,90006,2133801717,3,4,1412,1100,2300,1100,2300,1100,2300,1100,2400,1100,2400,1100,2400,1100,2300
a24,Ham Ji Park,korean,barbeque,3407 W 6th St,Los Angeles,90020,2133658773,2,4,1308,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1600,2200
a25,Eight Korean BBQ,korean,barbeque,863 S Western Ave,Los Angeles,90005,2133651750,2,4.5,1321,1130,2400,1130,2400,1130,2400,1130,2400,1130,200,1130,200,1130,2400
a26,Castle BBQ,barbeque,korean,473 N Western Ave,Los Angeles,90004,3234673813,2,3.5,1354,1030,2230,1030,2230,1030,2230,1030,2230,1030,2300,1030,2300,1030,2230
a27,O Dae San Korean BBQ,korean,barbeque,2889 W Olympic Blvd,Los Angeles,90006,2133839800,2,3,1278,630,2300,630,2300,630,2300,630,2300,630,2400,630,2400,630,2300
a28,Beverly Soon Tofu Restaurant,korean,,2717 W Olympic Blvd,Los Angeles,90006,2133801113,2,4,1236,1100,2200,1100,2200,1100,2200,1100,2200,1100,2230,1100,2230,1100,2230
a29,The Bun Shop,korean,asian fusion,151 N Western Ave,Los Angeles,90004,3234681031,1,4,1204,1130,2200,1130,2200,1130,2200,1130,2400,1130,2400,1130,2400,1130,2200
a30,Village Pizzeria,pizza,salad,131 N Larchmont Blvd,Los Angeles,90004,3234655566,2,4,1253,1130,2130,1130,2130,1130,2130,1130,2200,1130,2200,1200,2100,,
a31,Noshi Sushi,sushi bars,japanese,4430 Beverly Blvd,Los Angeles,90004,3234693458,2,4,1159,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,,
a32,Sanya,korean,barbeque,2897 W Olympic Blvd,Los Angeles,90006,2133831144,2,3,1163,900,2300,900,2300,900,2300,900,2300,900,2300,900,2300,900,2300
a33,Commissary,breakfast & brunch,american (new),3515 Wilshire Blvd,Los Angeles,90010,2133683030,2,3.5,1133,700,1430,1700,2300,700,1430,1700,2300,700,1430,1700,2300,700,1430
a34,El Cholo,mexican,,1121 S Western Ave,Los Angeles,90006,3237342773,2,3.5,1144,1100,2100,1100,2200,1100,2200,1100,2200,1100,2300,1100,2300,1100,2100
a35,Bud Namu Korean BBQ,barbeque,korean,809 S Ardmore Ave,Los Angeles,90005,2133859292,2,3,1138,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300
a36,Myung Dong Kyoja,korean,noodles,3630 Wilshire Blvd,Los Angeles,90010,2133857789,2,4,1038,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
a37,Hangari Bajirak Kalgooksoo,korean,soup,3470 W 6th St,Los Angeles,90020,2133882326,2,4.5,1069,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300
a38,HAUS We are serving our customer at Caffe Concerto,korean,asian fusion,610 SSerrano Ave,Los Angeles,90005,2137380909,2,3.5,1034,930,100,930,100,930,100,930,100,930,200,900,200,900,100
a39,Honeymee Wilshire,ice cream & frozen yogurt,coffee & tea,3377 Wilshire Blvd,Los Angeles,90010,2133804663,1,4,1018,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400
a40,Kobawoo House,korean,,698 S Vermont Ave,Los Angeles,90005,2133897300,2,4.5,1001,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200
a41,Concerto,italian,wine bars,610 S Serrano Ave,Los Angeles,90005,2137380909,2,4,1015,1000,2400,1000,2400,1000,2400,1000,2400,1000,100,900,100,900,2400
a42,Seongbukdong,korean,,3303 W 6th St,Los Angeles,90020,2137388977,2,4,978,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400
a43,Tommy's Original World Famous Hamburgers,burgers,fast food,2575 Beverly Blvd,Los Angeles,90057,2133899060,1,4,1042,,,,,,,,,,,,,,
a44,Yup Dduk La,korean,,3603 W 6th St,Los Angeles,90020,2132632355,2,4.5,1060,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200
a45,Yellow House Cafe,desserts,coffee & tea,234 S Oxford Ave,Los Angeles,90004,2133650820,2,4,939,1100,2400,1100,2400,1100,2400,1100,2400,1100,200,1100,200,1100,2400
a46,Yuchun,korean,soup,3185 W Olympic Blvd,Los Angeles,90006,2133823815,2,4,928,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,,
a47,Gus's World Famous Fried Chicken,southern,chicken shop,1262 Crenshaw Blvd,Los Angeles,90019,3234020232,2,4,1013,1100,2100,1100,2100,1100,2100,1100,2100,1100,2200,1100,2200,1100,2100
a48,Gaam Restaurant and Lounge,asian fusion,lounges,3465 W 6th St,Los Angeles,90020,2133888850,2,3.5,911,1700,200,1700,200,1700,200,1700,200,1700,200,1700,200,1700,200
a49,Hodori Restaurant,korean,,1001 S Vermont Ave,Los Angeles,90006,2133833554,2,3.5,904,,,,,,,,,,,,,,
a50,Honey Pig,korean,barbeque,3400 W 8th St,Los Angeles,90005,2133800256,2,3.5,872,1100,100,1100,100,1100,100,1100,100,1100,100,1100,100,1100,100
a51,Bottega Louie,italian,bakeries,700 S Grand Ave,Los Angeles,90017,2138021470,2,4,14405,700,2200,700,2200,700,2200,700,2200,700,2300,800,2300,800,2200
a52,Pink's Hot Dogs,hot dogs,,709 N La Brea Ave,Los Angeles,90038,3239314223,1,3.5,6427,930,200,930,200,930,200,930,200,930,300,930,300,930,200
a53,Perch,lounges,french,448 S Hill St,Los Angeles,90013,2138021770,3,4,5432,1600,100,1600,100,1600,100,1600,200,1600,200,1000,200,1000,100
a54,Eggslut,breakfast & brunch,,317 S Broadway,Los Angeles,90013,2136250292,1,4,4782,800,1600,800,1600,800,1600,800,1600,800,1600,800,1600,800,1600
a55,Pizzeria Mozza,pizza,,641 N Highland Ave,Los Angeles,90036,3232970101,2,4,3763,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400,1200,2400
a56,Masa of Echo Park,american (new),pizza,1800 W Sunset Blvd,Los Angeles,90026,2139891558,2,4,3519,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300
a57,République,french,breakfast & brunch,624 S La Brea Ave,Los Angeles,90036,3103626115,2,4,3537,800,1500,1730,2200,800,1500,1730,2200,800,1500,1730,2200,800,1500
a58,Genwa Korean BBQ,korean,barbeque,5115 Wilshire Blvd,Los Angeles,90036,3235490760,2,4.5,2490,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1200,2200,1200,2200
a59,Original Pantry Cafe,american (traditional),breakfast & brunch,877 S Figueroa St,Los Angeles,90017,2139729279,2,3.5,2477,600,600,600,600,600,600,600,600,600,600,600,600,600,600
a60,Silverlake Ramen,ramen,sushi bars,2927 W Sunset Blvd,Los Angeles,90026,3236608100,2,4,2459,1130,2300,1130,2300,1130,2300,1130,2300,1130,145,1130,145,1130,2300
a61,Bäco Mercat,mediterranean,spanish,408 S Main St,Los Angeles,90013,2136878808,2,4,2342,1130,1430,1730,2300,1130,1430,1730,2300,1130,1430,1730,2300,1130,1430
a62,Osteria Mozza,italian,wine bars,6602 Melrose Ave,Los Angeles,90038,3232970100,4,4,2418,1730,2200,1730,2200,1730,2200,1730,2200,1730,2300,1700,2300,1700,2200
a63,Providence,seafood,,5955 Melrose Ave,Los Angeles,90038,3234604170,4,4.5,2335,1800,2200,1800,2200,1800,2200,1800,2200,1230,1400,1800,2200,1730,2200
a64,Nickel Diner,diners,breakfast & brunch,524 S Main St,Los Angeles,90013,2136238301,2,4,2234,800,1530,800,1530,800,1530,800,1530,800,1530,800,1530,,
a65,Tatsu Ramen,ramen,,7111 Melrose Ave,Los Angeles,90046,3237471388,2,4,2427,1100,200,1100,200,1100,200,1100,300,1100,300,1100,300,1100,200
a66,SUGARFISH by sushi nozawa,japanese,sushi bars,600 W 7th St,Los Angeles,90017,2136273000,3,4,2045,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1200,2100
a67,KazuNori  | The Original Hand Roll Bar,sushi bars,japanese,421 S Main St,Los Angeles,90013,2134936956,2,4.5,2005,1130,2300,1130,2300,1130,2300,1130,2300,1130,2400,1130,2400,1200,2200
a68,Yard House,bars,vegetarian,800 W Olympic Blvd,Los Angeles,90015,2137459273,2,3.5,2120,1100,2400,1100,2400,1100,2400,1100,2400,1100,130,1100,130,1100,2400
a69,Mario's Peruvian & Seafood,seafood,peruvian,5786 Melrose Ave,Los Angeles,90038,3234664181,2,4,1981,1130,2000,1130,2000,1130,2000,1130,2000,1130,2130,1130,2130,1130,2000
a70,Mohawk Bend,gastropubs,,2141 W Sunset Blvd,Los Angeles,90026,2134832337,2,4,2006,1130,2330,1130,2330,1130,2330,1130,2330,1130,130,930,130,930,2330
a71,Cole's French Dip,bars,sandwiches,118 E 6th St,Los Angeles,90014,2136224090,2,3.5,1981,1200,2400,1200,2400,1200,2400,1200,200,1200,200,1100,200,1100,2400
a72,Maccheroni Republic,italian,desserts,332 S Broadway,Los Angeles,90013,2133469725,2,4,2042,1130,1500,1730,2200,1130,1500,1730,2200,1130,1500,1730,2200,1130,1500
a73,Grand Central Market,food court,,317 S Broadway,Los Angeles,90013,2136242378,2,4,1874,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
a74,Faith & Flower,american (new),cocktail bars,705 W 9th St,Los Angeles,90015,2132390642,3,4,1848,1130,1430,1700,2200,1130,1430,1700,2200,1130,1430,1700,2200,1130,1430
a75,Takami Sushi & Robata Restaurant,sushi bars,japanese,811 Wilshire Blvd,Los Angeles,90017,2132369600,3,3.5,1860,1130,1400,1700,2130,1130,1400,1700,2130,1130,1400,1700,2130,1130,1400
a76,Grub,american (new),breakfast & brunch,911 Seward St,Los Angeles,90038,3234613663,2,4,1723,1100,1500,1100,1500,1100,1500,1100,1500,1100,1500,900,1500,900,1500
a77,Cafe Gratitude - Larchmont,live/raw food,vegetarian,639 N Larchmont Blvd,Los Angeles,90004,3235806383,2,4,1826,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
a78,Guisados,mexican,,1261 W Sunset Blvd,Los Angeles,90026,2132507600,1,4.5,1741,1030,2200,1030,2200,1030,2200,1030,2200,1030,2300,1030,2300,900,1700
a79,Water Grill- Los Angeles,seafood,,544 S Grand Ave,Los Angeles,90071,2138910900,3,4,1731,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1100,2300,1100,2200
a80,Jacks N Joe,breakfast & brunch,,2498 S Figueroa St,Los Angeles,90007,2137484565,2,4,1712,700,1330,700,1330,700,1330,700,1330,700,1330,800,1330,800,1330
a81,Library Bar,american (new),cocktail bars,630 W 6th St,Los Angeles,90017,2136140053,2,4,1592,1500,200,1500,200,1500,200,1500,200,1500,200,1500,200,1500,200
a82,Tom's Urban - LA Live,american (new),sports bars,1011 S Figueroa St,Los Angeles,90015,2137468667,2,3,1778,1100,30,1100,30,1100,30,1100,30,1100,200,1100,200,1100,2400
a83,Wurstküche,hot dogs,german,800 E 3rd St,Los Angeles,90013,2136874444,2,4,7585,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200
a84,Daikokuya Little Tokyo,ramen,noodles,327 E 1st St,Los Angeles,90012,2136261680,2,4,7367,1100,2400,1100,2400,1100,2400,1100,2400,1100,100,1100,100,1100,2300
a85,Philippe the Original,sandwiches,breakfast & brunch,1001 N Alameda St,Los Angeles,90012,2136283781,1,4,5361,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200
a86,Urth Caffé - Downtown,coffee & tea,desserts,451 S Hewitt St,Los Angeles,90013,2137974534,2,4,4552,600,2300,600,2300,600,2300,600,2300,600,2400,600,2400,600,2300
a87,Sushi Gen,sushi bars,japanese,422 E 2nd St,Los Angeles,90012,2136170552,3,4.5,3336,1130,1400,1730,2130,1130,1400,1730,2130,1130,1400,1730,2130,1130,1400
a88,Orochon Ramen,ramen,noodles,123 Astronaut E S Onizuka St,Los Angeles,90012,2136171766,1,3.5,2844,1130,2230,1130,2230,1130,2230,1130,2230,1130,2300,1130,2300,1130,2230
a89,The Pie Hole,coffee & tea,american (traditional),714 Traction Ave,Los Angeles,90013,2135370115,2,4,2772,900,2200,900,2200,900,2200,900,2300,900,2400,900,2400,900,2300
a90,Marugame Monzo,japanese,noodles,329 E 1st St,Los Angeles,90012,2133469762,2,4.5,2714,1130,1430,1700,2200,1130,1430,1700,2200,1130,1430,1700,2200,1130,1430
a91,Howlin' Ray's,southern,chicken shop,727 N Broadway,Los Angeles,90012,2139358399,2,4.5,2727,1100,1600,1100,1600,1100,1600,1100,1600,1000,1600,1000,1600,,
a92,Shin-Sen-Gumi Hakata Ramen - Little Tokyo,ramen,,132 S Central Ave,Los Angeles,90012,2136877108,2,4,2202,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300
a93,Kogi BBQ Truck - Azul,korean,food trucks,,Los Angeles,,3233150253,1,3.5,2059,1800,2400,1200,1500,1800,2400,1200,1500,1800,2400,1200,1500,1800,2400
a94,Cafe Dulce,coffee & tea,bakeries,134 Japanese Village Plz,Los Angeles,90012,2133469910,1,4,1900,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
a95,Yang Chow,chinese,,819 N Broadway,Los Angeles,90012,2136250811,2,4,1917,1130,2130,1130,2130,1130,2130,1130,2130,1130,2230,1130,2230,1130,2130
a96,Far Bar,asian fusion,cocktail bars,347 E 1st St,Los Angeles,90012,2136179990,2,3.5,1783,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200
a97,Church & State,french,bars,1850 Industrial St,Los Angeles,90021,2134051434,3,3.5,1613,1130,1430,1730,2100,1130,1430,1730,2100,1130,1430,1730,2100,1130,1430
a98,Taqueria Los Anaya,mexican,,4651 W Adams Blvd,Los Angeles,90016,3237314070,1,4.5,877,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,800,1700
a99,Post & Beam,pizza,southern,3767 Santa Rosalia Dr,Los Angeles,90008,3232995599,2,3.5,678,1600,2200,1600,2200,1600,2200,1600,2300,1130,2300,1100,2100,,
a100,Harold & Belle's,cajun/creole,southern,2920 W Jefferson Blvd,Los Angeles,90018,3237359918,2,3.5,647,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1130,2300,1130,2200
a101,Honey Bee's House of Breakfast,breakfast & brunch,salvadoran,4715 W Adams Blvd,Los Angeles,90016,3237317203,1,4,614,800,1500,800,1500,800,1500,800,1500,800,1500,800,1500,800,1500
a102,Phillips Barbecue,barbeque,,2619 Crenshaw Blvd,Los Angeles,90016,3237314772,2,4,406,1100,2200,1100,2200,1100,2200,1100,2300,1100,2300,1100,1800,,
a103,Buffalo Wild Wings,chicken wings,sports bars,3939 E Crenshaw Blvd,Los Angeles,90008,3235964955,2,2.5,462,1100,2400,1100,2400,1100,2400,1100,2400,1100,100,1100,100,1100,2400
a104,Dulan's On Crenshaw,soul food,,4859 Crenshaw Blvd,Los Angeles,90043,3232963034,2,4,398,1100,2000,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2000
a105,Mel's Fish Shack,seafood markets,fish & chips,4524 W Jefferson Blvd,Los Angeles,90016,3237326357,2,4,330,1100,2000,1100,2100,1100,2100,1100,2100,1100,2200,1100,2200,1100,2000
a106,Mexicano,mexican,cocktail bars,3650 W Martin Luther King Jr Blvd,Los Angeles,90008,3232960798,2,3.5,313,1130,2200,1130,2200,1130,2200,1130,2300,1130,2300,1130,2200,,
a107,Ackee Bamboo Jamaican Cuisine,caribbean,,4305 Degnan Blvd,Los Angeles,90008,3232957275,2,4,270,1100,2000,1100,2000,1100,2000,1100,2100,1100,2100,1130,1800,,
a108,Brooklyn Deli & Mini Market,sandwiches,delis,4308 Crenshaw Blvd,Los Angeles,90008,3479818408,1,5,199,1000,1900,1000,1900,1000,1900,1000,1900,1000,2100,1000,2100,,
a109,The Cork,american (traditional),,4771 W Adams Blvd,Los Angeles,90016,3237312030,2,4,179,1200,200,1200,200,1200,200,1200,200,1200,200,1200,200,1200,200
a110,Michelle's Country Diner,burgers,diners,4070 Marlton Ave,Los Angeles,90008,3232900575,2,3.5,205,800,1500,800,1500,800,1500,800,2100,800,2100,800,2100,800,2100
a111,CJ's Cafe,soul food,breakfast & brunch,3655 S La Brea Ave,Los Angeles,90016,3232929221,2,3.5,167,630,1800,630,1800,630,1800,630,1800,630,1800,630,1800,700,1700
a112,Earle's On Crenshaw,hot dogs,burgers,3864 Crenshaw Blvd,Los Angeles,90008,3232992867,1,4.5,172,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,,
a113,Sonsonate Grill,salvadoran,,5011 S Western Ave,Los Angeles,90062,3232967470,2,3,176,900,2130,900,2130,900,2130,900,2130,900,2200,900,2200,900,2200
a114,Jack's Family Kitchen,breakfast & brunch,,3965 S Western Ave,Los Angeles,90062,3232965215,1,4.5,139,600,1330,600,1430,600,1430,600,1430,600,1430,600,1430,,
a115,Worldwide Tacos,mexican,,2419 W Martin Luther King J,Los Angeles,90008,3232911500,1,3.5,135,1130,2000,1130,2000,1130,2000,1130,2000,1130,2200,1130,2200,,
a116,Chipotle Mexican Grill,mexican,fast food,3939 Crenshaw Blvd,Baldwin Hills,90008,3233472108,1,2,141,1030,2200,1030,2200,1030,2200,1030,2200,1030,2200,1030,2200,1030,2200
a117,Popeyes Louisiana Kitchen,fast food,chicken wings,3050 S La Brea Ave,Los Angeles,90016,3237347340,1,2,131,,,,,,,,,,,,,,
a118,New Panda Buffet,buffets,chinese,5120 Rodeo Rd,Los Angeles,90016,3232915555,1,2.5,134,1030,2130,1030,2130,1030,2130,1030,2130,1030,2200,1030,2200,1030,2200
a119,Delicious Southern Cuisine,cajun/creole,soul food,4371 Crenshaw Blvd,Los Angeles,90008,3232980445,2,4,127,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2000
a120,Denny's,diners,american (traditional),3740 S Crenshaw Blvd,Los Angeles,90016,3232985498,2,2,142,,,,,,,,,,,,,,
a121,Wingstop,chicken wings,,3825 Crenshaw Blvd,Los Angeles,90008,3232969464,2,2.5,118,1100,2300,1100,2300,1100,2300,1100,2300,1100,2400,1100,2400,1100,2300
a122,Cafe Creole,cajun/creole,,3650 W Martin Luther King Jr Blvd,Los Angeles,90008,3233898355,2,4,106,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1100,1900
a123,The Kickin' Crab - Los Angeles,seafood,cajun/creole,3767 Santa Rosalia Dr,Los Angeles,90008,3232948888,2,3.5,130,1500,2200,1500,2200,1500,2200,1500,2200,1500,2200,1200,2200,1200,2200
a124,Tak's Coffee Shop,coffee & tea,american (traditional),3870 Crenshaw Blvd,Los Angeles,90008,3232950195,1,4.5,93,530,1400,530,1400,530,1400,530,1400,530,1400,530,1400,530,1400
a125,Kim's Restaurant,cantonese,korean,3860 S Crenshaw Blvd,Los Angeles,90008,3232946677,1,4,102,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2000
a126,Coliseo Pizzeria,italian,pizza,3745 La Brea Ave,Los Angeles,90016,3232949999,1,4.5,94,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2100
a127,Tracey's Belizean Restaurant,caribbean,,3810 S Western Ave,Los Angeles,90062,3237352166,2,4.5,92,900,1930,900,1930,900,1930,900,1930,900,1930,900,1930,900,1600
a128,Jackfruit Cafe,cafes,vegan,2959 Crenshaw Blvd,Los Angeles,90016,8186943050,2,4.5,89,1200,1830,1200,1830,1200,1830,1200,1830,1200,1830,1200,1830,1200,1630
a129,Master Burger,burgers,breakfast & brunch,4419 S Western Ave,Los Angeles,90062,3232951940,1,3.5,84,800,2330,800,2330,800,2330,800,2330,800,30,800,30,900,2230
a130,California Steak & Fries,sandwiches,,3745 La Brea Ave,Los Angeles,90016,3232942200,1,2.5,78,1000,2130,1000,2130,1000,2130,1000,2130,1000,2130,1000,2130,1100,1900
a131,A-1 Burgers,burgers,food,2915 W Vernon Ave,Los Angeles,90008,3232901174,1,4,76,,,,,,,,,,,,,,
a132,Ramona's Mexican Food Products,mexican,,3728 Crenshaw Blvd,Los Angeles,90016,3235962301,1,2.5,71,1000,2000,1000,2000,1000,2000,1000,2000,1000,2100,1000,2100,1000,2000
a133,Taco Window,tacos,,2622 W Jefferson Blvd,Los Angeles,90018,3233739671,1,4.5,88,1100,2000,1100,2000,1100,2000,1100,2000,1100,2000,1100,2000,,
a134,Master Burger No 3,burgers,,4366 W Adams Blvd,Los Angeles,90018,3237348021,1,3.5,70,,,,,,,,,,,,,,
a135,Tumby's Pizza,pizza,italian,3567 S Western Ave,Los Angeles,90018,3237350534,1,4,68,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300
a136,Chef Marilyn's,southern,cajun/creole,2638 Crenshaw Blvd,Los Angeles,90016,3237378101,1,3.5,71,1030,2100,1030,2100,1030,2100,1030,2100,1030,2100,1030,2100,,
a137,Las Ranas Cafe,mexican,,5237 W Adams Blvd,Los Angeles,90016,3239347084,1,4,63,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2000
a138,Collins Fish Market,seafood markets,fish & chips,4873 W Adams Blvd,Los Angeles,90016,3237326155,1,4,66,1100,2100,1100,2100,1100,2100,1100,2100,1000,2200,1000,2200,1200,2000
a139,Es Con Sabor Restaurant,latin american,caterers,5239 W Adams Blvd,Los Angeles,90016,3239391458,1,4,62,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100
a140,Tim's Kitchen,chinese,,3125 W Jefferson Blvd,Los Angeles,90018,3237310769,1,3.5,62,1130,2000,1130,2000,1130,2000,1130,2000,1130,2000,1130,2000,1130,2000
a141,Pizza King,pizza,,3993 S Western Ave,Los Angeles,90062,3232999838,2,3.5,69,1030,2200,1030,2200,1030,2200,1030,2200,1030,2300,1030,2300,1030,2200
a142,Pizza Moon,pizza,italian,2619 S Western Ave,Los Angeles,90018,3237332222,1,3,71,1100,2200,1100,2200,1100,2200,1100,2200,1100,2230,1100,2230,1100,2200
a143,Domino's Pizza,pizza,chicken wings,3631 Crenshaw Blvd,Los Angeles,90016,3237377700,2,1.5,67,1000,100,1000,100,1000,100,1000,100,1000,200,1000,200,1000,100
a144,Krispy Krunchy Chicken,chicken wings,cajun/creole,3650 W Martin Luther King Jr Blvd,Los Angeles,90008,3232933332,1,3.5,57,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1100,1900
a145,El Pollo Loco,fast food,mexican,2801 Crenshaw Blvd,Los Angeles,90016,3237343373,1,2,65,930,2300,930,2300,930,2300,930,2300,930,2300,930,2300,930,2300
a146,Everytable,salad,vegan,3650 W Mlk Blvd,Los Angeles,90008,3232960311,1,4.5,54,1030,2100,1030,2100,1030,2100,1030,2100,1030,2100,1030,2100,1100,1900
a147,Crenshaw Fish Market,fish & chips,seafood,3407 Crenshaw Blvd,Los Angeles,90016,3237346191,1,3.5,50,1100,2000,1100,2000,1100,2000,1100,2000,1100,2100,1100,2100,1100,1700
