_id,id_a,id_b,name_a,name_b,city,zipcode,address,phone,category_1,category_2,category_3,category_4,price_a,rating_a,review_count_a,price_b,rating_b,review_count_b,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
415,a23,b546,Park's BBQ,Park's BBQ,Los Angeles,90006.0,955 S Vermont Ave,2133801717.0,Asian,Korean,barbeque,korean,3.0,4.0,1412,2.5,4.5,68,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2300.0
440,a28,b610,Beverly Soon Tofu Restaurant,Beverly Soon Tofu,Los Angeles,90006.0,2717 W Olympic Blvd,2133801113.0,Asian,Korean,korean,,2.0,4.0,1236,1.0,4.5,43,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2230.0,1100.0,2230.0,1100.0,2230.0
460,a34,b151,El Cholo,El Cholo Restaurant,Los Angeles,90006.0,1121 S Western Ave,3237342773.0,Mexican,Latin,mexican,,2.0,3.5,1144,2.5,4.0,276,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1100.0,2100.0
494,a49,b2545,Hodori Restaurant,Hodori Restaurant,Los Angeles,90006.0,1001 S Vermont Ave,2133833554.0,Asian,Korean,korean,,2.0,3.5,904,1.0,4.0,24,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0
568,a4,b7,Langer's,Langer's,Los Angeles,90057.0,704 S Alvarado St,2134838050.0,American,Delicatessen,delis,sandwiches,2.0,4.5,3170,2.5,4.5,715,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
574,a43,b171,Tommy's Original World Famous Hamburgers,Tommy's Original Hamburger,Los Angeles,90057.0,2575 Beverly Blvd,2133899060.0,American,Fast Food,burgers,fast food,1.0,4.0,1042,1.0,4.5,167,,,,,,,,,,,,,,
688,a6,b223,Soowon Galbi KBBQ Restaurant,Soowon Galbi,Los Angeles,90005.0,856 S Vermont Ave,2133659292.0,Barbecue,Asian,korean,barbeque,2.0,4.5,2228,2.5,4.5,62,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2300.0,1130.0,2300.0,1200.0,2230.0
712,a9,b939,Slurpin' Ramen Bar,Slurpin' Ramen Bar,Los Angeles,90005.0,3500 W 8th St,2133888607.0,Japanese,Asian,ramen,noodles,2.0,4.5,2241,1.0,4.5,26,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0
737,a18,b1914,Moodaepo II,Moodaepo II,Los Angeles,90005.0,3014 W 7th St,2133819990.0,Barbecue,Asian,korean,barbeque,2.0,3.5,1541,,4.5,13,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
755,a22,b1240,Oo-Kook Korean BBQ,Oo Kook Korean BBQ,Los Angeles,90005.0,3385 W 8th St,2133855665.0,Barbecue,Asian,korean,barbeque,2.0,4.0,1483,2.5,4.0,46,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0
783,a25,b2113,Eight Korean BBQ,Eight Korean BBQ,Los Angeles,90005.0,863 S Western Ave,2133651750.0,Asian,Korean,korean,barbeque,2.0,4.5,1321,2.5,4.5,9,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,200.0,1130.0,200.0,1130.0,2400.0
792,a25,b2937,Eight Korean BBQ,Palsaik Samgyupsal Korean BBQ,Los Angeles,90005.0,863 S Western Ave,2133651750.0,Asian,Korean,korean,barbeque,2.0,4.5,1321,,4.5,8,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,200.0,1130.0,200.0,1130.0,2400.0
840,a40,b1353,Kobawoo House,Kobawoo Restaurant,Los Angeles,90005.0,698 S Vermont Ave,2133897300.0,Asian,Korean,korean,,2.0,4.5,1001,2.5,4.5,25,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0
866,a41,b2074,Concerto,Caffe Concerto,Los Angeles,90005.0,610 S Serrano Ave,2137380909.0,Italian,Cafe,italian,wine bars,2.0,4.0,1015,2.5,4.5,13,1000.0,2400.0,1000.0,2400.0,1000.0,2400.0,1000.0,2400.0,1000.0,100.0,900.0,100.0,900.0,2400.0
886,a50,b2071,Honey Pig,Honey Pig,Los Angeles,90005.0,3400 W 8th St,2133800256.0,Korean,Barbecue,korean,barbeque,2.0,3.5,872,2.5,4.0,31,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0
899,a153,b775,Taylor's Steakhouse,Taylor's Steakhouse,Los Angeles,90005.0,3361 W 8th St,2133828449.0,American,Steakhouse,steakhouses,,3.0,4.0,934,4.0,4.0,103,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2230.0,1600.0,2230.0,1600.0,2130.0
1277,a8,b372,BCD Tofu House,BCD Tofu House,Los Angeles,90010.0,3575 Wilshire Blvd,2133826677.0,Asian,Korean,korean,,2.0,3.5,2163,2.5,4.0,160,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0
1293,a10,b82,The Boiling Crab,The Boiling Crab,Los Angeles,90010.0,3377 Wilshire Blvd,2133892722.0,Seafood,,seafood,cajun/creole,2.0,4.0,2055,2.5,4.5,189,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1200.0,2200.0,1200.0,2200.0
1313,a17,b759,M Grill,M Grill,Los Angeles,90010.0,3832 Wilshire Blvd,2133892770.0,Steakhouse,Barbecue,brazilian,buffets,3.0,4.0,1612,2.5,4.0,85,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0
1329,a33,b612,Commissary,Commissary,Los Angeles,90010.0,3515 Wilshire Blvd,2133683030.0,American,Vegetarian Friendly,breakfast & brunch,american (new),2.0,3.5,1133,2.5,4.0,147,700.0,1430.0,1700.0,2300.0,700.0,1430.0,1700.0,2300.0,700.0,1430.0,1700.0,2300.0,700.0,1430.0
1350,a36,b1691,Myung Dong Kyoja,Myung Dong Kyoja,Los Angeles,90010.0,3630 Wilshire Blvd,2133857789.0,Asian,Korean,korean,noodles,2.0,4.0,1038,1.0,4.0,23,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
1413,a21,b343,Chosun Galbee,Chosun Galbee Restaurant,Los Angeles,90019.0,3330 W Olympic Blvd,3237343330.0,Asian,Korean,korean,bars,3.0,4.0,1446,2.5,4.0,131,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0
1443,a47,b776,Gus's World Famous Fried Chicken,Gus's World Famous Fried Chicken,Los Angeles,90019.0,1262 Crenshaw Blvd,3234020232.0,American,,southern,chicken shop,2.0,4.0,1013,2.5,4.0,51,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2100.0
1464,a191,b140,Roscoe's House of Chicken & Waffles,Roscoe's House of Chicken & Waffles,Los Angeles,90019.0,5006 W Pico Blvd,3239344405.0,American,,breakfast & brunch,soul food,2.0,4.0,2407,1.0,4.0,230,800.0,2400.0,800.0,2400.0,800.0,2400.0,800.0,2400.0,800.0,200.0,900.0,200.0,800.0,2400.0
1497,a192,b1038,Leo's Tacos Truck,Leos Tacos Truck,Los Angeles,90019.0,1515 S La Brea Ave,3233462001.0,Mexican,Latin,mexican,food trucks,1.0,4.5,1256,1.0,4.5,18,900.0,300.0,900.0,300.0,900.0,300.0,900.0,300.0,900.0,400.0,900.0,400.0,900.0,300.0
1526,a193,b1145,Sky's Gourmet Tacos,Sky's Gourmet Tacos,Los Angeles,90019.0,5408 W Pico Blvd,3239326253.0,Mexican,Vegetarian Friendly,mexican,cajun/creole,1.0,4.0,855,1.0,4.5,24,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
1554,a194,b1244,Bloom Cafe,Bloom Cafe,Los Angeles,90019.0,5544 W Pico Blvd,3239346900.0,Cafe,Vegetarian Friendly,coffee & tea,breakfast & brunch,2.0,3.5,716,2.5,4.5,25,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0
1634,a204,b1517,PIPS On La Brea,Pips on La Brea,Los Angeles,90019.0,1356 S La Brea Ave,3239547477.0,American,Italian,jazz & blues,breakfast & brunch,2.0,4.0,353,2.5,4.0,28,1700.0,2300.0,1700.0,2400.0,1700.0,2400.0,1700.0,100.0,1400.0,100.0,1100.0,1400.0,1700.0,2200.0
1843,a216,b1630,Brownstone Bistro,Brownstone Bistro,Los Angeles,90019.0,5047 W Pico Blvd,3239659400.0,American,Seafood,american (new),bars,2.0,4.0,190,2.5,4.5,16,1600.0,2200.0,1600.0,2200.0,1600.0,2200.0,1600.0,2300.0,1600.0,2300.0,1100.0,1600.0,1600.0,2300.0
2110,a637,b2258,Paper or Plastik Cafe,Paper or Plastik Cafe,Los Angeles,90019.0,5772 W Pico Blvd,3239350268.0,American,Cafe,coffee & tea,american (new),2.0,3.0,902,2.5,4.0,24,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2000.0
2143,a656,b471,Trejo's Tacos,Trejo's Tacos,Los Angeles,90019.0,1048 S La Brea Ave,3239388226.0,Mexican,Latin,mexican,wine bars,2.0,3.5,1168,2.5,4.0,90,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2300.0,800.0,2300.0,800.0,2200.0
2234,a29,b1376,The Bun Shop,The Bun Shop,Los Angeles,90004.0,151 N Western Ave,3234681031.0,Asian,Korean,korean,asian fusion,1.0,4.0,1204,1.0,4.5,19,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2200.0
2258,a30,b911,Village Pizzeria,Village Pizzeria,Los Angeles,90004.0,131 N Larchmont Blvd,3234655566.0,Italian,Pizza,pizza,salad,2.0,4.0,1253,1.0,4.5,50,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2200.0,1130.0,2200.0,1200.0,2100.0,1130.0,2200.0
2295,a31,b1785,Noshi Sushi,Noshi Sushi,Los Angeles,90004.0,4430 Beverly Blvd,3234693458.0,Japanese,Sushi,sushi bars,japanese,2.0,4.0,1159,2.5,4.0,26,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0
2342,a77,b24,Cafe Gratitude - Larchmont,Cafe Gratitude,Los Angeles,90004.0,639 N Larchmont Blvd,3235806383.0,Cafe,Vegetarian Friendly,live/raw food,vegetarian,2.0,4.0,1826,2.5,4.5,225,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
2431,a59,b138,Original Pantry Cafe,The Original Pantry,Los Angeles,90017.0,877 S Figueroa St,2139729279.0,American,,american (traditional),breakfast & brunch,2.0,3.5,2477,1.0,4.0,749,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
2482,a66,b53,SUGARFISH by sushi nozawa,SUGARFISH by sushi nozawa,Los Angeles,90017.0,600 W 7th St,2136273000.0,Japanese,Seafood,japanese,sushi bars,3.0,4.0,2045,2.5,4.5,342,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1200.0,2100.0
2544,a75,b340,Takami Sushi & Robata Restaurant,Takami Sushi and Robata,Los Angeles,90017.0,811 Wilshire Blvd,2132369600.0,Japanese,Sushi,sushi bars,japanese,3.0,3.5,1860,2.5,4.0,175,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0
2624,a81,b1466,Library Bar,Library Bar,Los Angeles,90017.0,630 W 6th St,2136140053.0,American,,american (new),cocktail bars,2.0,4.0,1592,2.5,4.0,35,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0
2650,a187,b133,Industriel,Industriel,Los Angeles,90017.0,609 S Grand Ave,2134888020.0,American,International,american (new),,2.0,4.0,1048,2.5,4.5,162,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1000.0,2300.0,1000.0,2030.0
2708,a190,b242,Wokcano,Wokcano - Downtown LA,Los Angeles,90017.0,800 W 7th St,2136232288.0,Japanese,Sushi,chinese,sushi bars,2.0,3.5,1239,2.5,4.0,148,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1200.0,200.0,1200.0,200.0
2829,a1099,b965,Pacific Dining Car,Pacific Dining Car,Los Angeles,90017.0,1310 W 6th St,2134836000.0,American,Steakhouse,steakhouses,american (traditional),4.0,3.5,1035,4.0,4.0,163,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
2905,a1101,b1881,Gus's Drive In,Gus's Drive-in,Los Angeles,90017.0,1657 W 3rd St,2134838885.0,Mediterranean,,american (traditional),mediterranean,1.0,3.5,300,1.0,4.5,13,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0
2963,a1104,b2027,La Parrilla,La Parrilla,Los Angeles,90017.0,1300 Wilshire Blvd,2133534980.0,Mexican,Latin,mexican,,2.0,3.0,245,2.5,4.0,29,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1200.0,2000.0,1200.0,2000.0
3429,a2093,b744,Engine Co No 28,Engine Co. No. 28,Los Angeles,90017.0,644 S Figueroa St,2136246996.0,American,,american (traditional),wine bars,2.0,3.0,666,2.5,3.5,184,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0
3488,a2094,b867,Morton's The Steakhouse,Morton's The Steakhouse,Los Angeles,90017.0,735 S Figueroa St,2135534566.0,American,Vegetarian Friendly,steakhouses,seafood,3.0,3.5,614,4.0,4.0,79,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1700.0,2200.0,1700.0,2200.0
3537,a2095,b578,800° Woodfired Kitchen Pizza + Rotisserie,800 Degrees Neapolitan Pizzeria,Los Angeles,90017.0,800 Wilshire Blvd,2135423790.0,Pizza,Italian,pizza,salad,2.0,3.5,518,2.5,4.0,77,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,2300.0
3593,a2096,b616,10e,10e Restaurant,Los Angeles,90017.0,811 W 7th St,2134881096.0,Lebanese,Eastern European,mediterranean,armenian,2.0,4.0,444,2.5,4.5,45,1100.0,2230.0,1100.0,2230.0,1100.0,2230.0,1100.0,2330.0,1100.0,2330.0,1100.0,2330.0,1100.0,2230.0
3766,a2099,b1084,Miro,Miro,Los Angeles,90017.0,888 Wilshire Blvd,2139888880.0,American,Vegetarian Friendly,mediterranean,whiskey bars,3.0,4.0,312,2.5,4.0,37,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2400.0,1130.0,2400.0,1100.0,2300.0
3884,a2101,b1318,California Pizza Kitchen at 7th Street Los Angeles,California Pizza Kitchen,Los Angeles,90017.0,735 S Figueroa St,2132288500.0,Pizza,American,pizza,american (new),2.0,3.0,288,2.5,4.0,55,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2200.0,1130.0,2200.0,1130.0,2100.0
4123,a2105,b2395,Indus by Saffron,Indus by Saffron,Los Angeles,90017.0,735 S Figueroa St,2136881400.0,Indian,,indian,,1.0,4.0,172,,4.5,9,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,1900.0,1100.0,1900.0
4163,a2106,b1465,Dekkadance,Dekkadance,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,Pizza,Vegetarian Friendly,pizza,seafood,3.0,3.5,169,4.0,4.5,15,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0,630.0,2200.0
4367,a2110,b785,La Boucherie,La Boucherie,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,French,Steakhouse,steakhouses,french,4.0,4.0,123,4.0,4.5,24,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,,
4516,a2112,b3052,Sora,Sora,Los Angeles,90017.0,900 Wilshire Blvd,2136887777.0,Japanese,Sushi,sushi bars,japanese,2.0,3.5,91,2.5,4.0,8,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1200.0,2100.0,1400.0,2200.0,,
5233,a52,b94,Pink's Hot Dogs,Pink's Hot Dogs,West Hollywood,90038.0,709 N La Brea Ave,3239314223.0,American,Fast Food,hot dogs,,1.0,3.5,6427,1.0,4.0,1416,930.0,200.0,930.0,200.0,930.0,200.0,930.0,200.0,930.0,300.0,930.0,300.0,930.0,200.0
5278,a62,b131,Osteria Mozza,Osteria Mozza,Los Angeles,90038.0,6602 Melrose Ave,3232970100.0,Italian,Vegetarian Friendly,italian,wine bars,4.0,4.0,2418,4.0,4.0,598,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2300.0,1700.0,2300.0,1700.0,2200.0
5385,a69,b933,Mario's Peruvian & Seafood,Mario's Peruvian & Seafood,Los Angeles,90038.0,5786 Melrose Ave,3234664181.0,Peruvian,Seafood,seafood,peruvian,2.0,4.0,1981,2.5,4.0,111,1130.0,2000.0,1130.0,2000.0,1130.0,2000.0,1130.0,2000.0,1130.0,2130.0,1130.0,2130.0,1130.0,2000.0
5421,a76,b608,Grub,Grub,Los Angeles,90038.0,911 Seward St,3234613663.0,American,Vegetarian Friendly,american (new),breakfast & brunch,2.0,4.0,1723,2.5,4.0,108,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,900.0,1500.0,900.0,1500.0
5459,a266,b391,Osteria La Buca,Osteria La Buca,Los Angeles,90038.0,5210 Melrose Ave,3234621900.0,Italian,Vegetarian Friendly,italian,pizza,2.0,4.0,1546,2.5,4.0,134,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0,1800.0,2230.0,1130.0,1430.0
5500,a268,b325,Osteria Mamma,Osteria Mamma,Los Angeles,90038.0,5732 Melrose Ave,3232847060.0,Italian,Vegetarian Friendly,italian,wine bars,2.0,4.0,1266,2.5,4.5,107,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2300.0,1130.0,2300.0,1700.0,2200.0
5681,a574,b489,Franco on Melrose,Franco on Melrose,Los Angeles,90038.0,6919 Melrose Ave,3239343390.0,Italian,Vegetarian Friendly,italian,steakhouses,2.0,4.0,933,2.5,4.5,45,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1730.0,2300.0,1730.0,2300.0,1730.0,2200.0
5763,a53,b42,Perch,Perch,Los Angeles,90013.0,448 S Hill St,2138021770.0,French,American,lounges,french,3.0,4.0,5432,2.5,4.5,712,1600.0,100.0,1600.0,100.0,1600.0,100.0,1600.0,200.0,1600.0,200.0,1000.0,200.0,1000.0,100.0
5832,a54,b60,Eggslut,Eggslut,Los Angeles,90013.0,317 S Broadway,2136250292.0,American,Cafe,breakfast & brunch,,1.0,4.0,4782,1.0,4.5,414,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
5896,a61,b45,Bäco Mercat,Baco Mercat,Los Angeles,90013.0,408 S Main St,2136878808.0,Spanish,Middle Eastern,mediterranean,spanish,2.0,4.0,2342,2.5,4.5,282,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0
5960,a64,b41,Nickel Diner,Nickel Diner,Los Angeles,90013.0,524 S Main St,2136238301.0,American,Vegetarian Friendly,diners,breakfast & brunch,2.0,4.0,2234,2.5,4.5,247,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0
6043,a67,b722,KazuNori  | The Original Hand Roll Bar,KazuNori,Los Angeles,90013.0,421 S Main St,2134936956.0,Japanese,Sushi,sushi bars,japanese,2.0,4.5,2005,2.5,4.5,34,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2400.0,1130.0,2400.0,1200.0,2200.0
6090,a72,b11,Maccheroni Republic,Maccheroni Republic,Los Angeles,90013.0,332 S Broadway,2133469725.0,Italian,Mediterranean,italian,desserts,2.0,4.0,2042,2.5,4.5,188,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0
6223,a83,b36,Wurstküche,Wurstkuche,Los Angeles,90013.0,800 E 3rd St,2136874444.0,American,German,hot dogs,german,2.0,4.0,7585,2.5,4.5,488,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
6295,a86,b75,Urth Caffé - Downtown,Urth Caffe,Los Angeles,90013.0,451 S Hewitt St,2137974534.0,American,Cafe,coffee & tea,desserts,2.0,4.0,4552,2.5,4.5,229,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,600.0,2300.0
