name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fir_close,hours_sat_open,hours_sat_close,6
Papa Cristo's,greek,mediterranean,2771 W Pico Blvd,Los Angeles,90006,3237372970.0,2.0,4.5,1685,930.0,1500.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,900.0,1600.0,,,
Dino's Chicken and Burgers,burgers,mexican,2575 W Pico Blvd,Los Angeles,90006,2133803554.0,1.0,4.0,1743,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,700.0,2300.0,
M Grill,brazilian,buffets,3832 Wilshire Blvd,Los Angeles,90010,2133892770.0,3.0,4.0,1612,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,
Moodaepo II,korean,barbeque,3014 W 7th St,Los Angeles,90005,2133819990.0,2.0,3.5,1541,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,
The Grilled Cheese Truck,food trucks,american (traditional),,Los Angeles,90001,8183451875.0,1.0,3.5,1511,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1000.0,2300.0,1000.0,2100.0,
Guelaguetza Restaurante,mexican,,3014 W Olympic Blvd,Los Angeles,90006,2134270608.0,2.0,4.0,1552,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2300.0,800.0,2300.0,800.0,2200.0,
Chosun Galbee,korean,bars,3330 W Olympic Blvd,Los Angeles,90019,3237343330.0,3.0,4.0,1446,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,
Oo-Kook Korean BBQ,korean,barbeque,3385 W 8th St,Los Angeles,90005,2133855665.0,2.0,4.0,1483,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,
Park's BBQ,barbeque,korean,955 S Vermont Ave,Los Angeles,90006,2133801717.0,3.0,4.0,1412,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2300.0,
Ham Ji Park,korean,barbeque,3407 W 6th St,Los Angeles,90020,2133658773.0,2.0,4.0,1308,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1600.0,2200.0,
Eight Korean BBQ,korean,barbeque,863 S Western Ave,Los Angeles,90005,2133651750.0,2.0,4.5,1321,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,200.0,1130.0,200.0,1130.0,2400.0,
Castle BBQ,barbeque,korean,473 N Western Ave,Los Angeles,90004,3234673813.0,2.0,3.5,1354,1030.0,2230.0,1030.0,2230.0,1030.0,2230.0,1030.0,2230.0,1030.0,2300.0,1030.0,2300.0,1030.0,2230.0,
O Dae San Korean BBQ,korean,barbeque,2889 W Olympic Blvd,Los Angeles,90006,2133839800.0,2.0,3.0,1278,630.0,2300.0,630.0,2300.0,630.0,2300.0,630.0,2300.0,630.0,2400.0,630.0,2400.0,630.0,2300.0,
Beverly Soon Tofu Restaurant,korean,,2717 W Olympic Blvd,Los Angeles,90006,2133801113.0,2.0,4.0,1236,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2230.0,1100.0,2230.0,1100.0,2230.0,
The Bun Shop,korean,asian fusion,151 N Western Ave,Los Angeles,90004,3234681031.0,1.0,4.0,1204,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2200.0,
Village Pizzeria,pizza,salad,131 N Larchmont Blvd,Los Angeles,90004,3234655566.0,2.0,4.0,1253,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2200.0,1130.0,2200.0,1200.0,2100.0,,,
Noshi Sushi,sushi bars,japanese,4430 Beverly Blvd,Los Angeles,90004,3234693458.0,2.0,4.0,1159,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,,,
Sanya,korean,barbeque,2897 W Olympic Blvd,Los Angeles,90006,2133831144.0,2.0,3.0,1163,900.0,2300.0,900.0,2300.0,900.0,2300.0,900.0,2300.0,900.0,2300.0,900.0,2300.0,900.0,2300.0,
Commissary,breakfast & brunch,american (new),3515 Wilshire Blvd,Los Angeles,90010,2133683030.0,2.0,3.5,1133,700.0,1430.0,1700.0,2300.0,700.0,1430.0,1700.0,2300.0,700.0,1430.0,1700.0,2300.0,700.0,1430.0,
El Cholo,mexican,,1121 S Western Ave,Los Angeles,90006,3237342773.0,2.0,3.5,1144,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1100.0,2100.0,
Bud Namu Korean BBQ,barbeque,korean,809 S Ardmore Ave,Los Angeles,90005,2133859292.0,2.0,3.0,1138,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,
Myung Dong Kyoja,korean,noodles,3630 Wilshire Blvd,Los Angeles,90010,2133857789.0,2.0,4.0,1038,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,
Hangari Bajirak Kalgooksoo,korean,soup,3470 W 6th St,Los Angeles,90020,2133882326.0,2.0,4.5,1069,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,
HAUS We are serving our customer at Caffe Concerto,korean,asian fusion,610 SSerrano Ave,Los Angeles,90005,2137380909.0,2.0,3.5,1034,930.0,100.0,930.0,100.0,930.0,100.0,930.0,100.0,930.0,200.0,900.0,200.0,900.0,100.0,
Honeymee Wilshire,ice cream & frozen yogurt,coffee & tea,3377 Wilshire Blvd,Los Angeles,90010,2133804663.0,1.0,4.0,1018,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,
Kobawoo House,korean,,698 S Vermont Ave,Los Angeles,90005,2133897300.0,2.0,4.5,1001,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,
Concerto,italian,wine bars,610 S Serrano Ave,Los Angeles,90005,2137380909.0,2.0,4.0,1015,1000.0,2400.0,1000.0,2400.0,1000.0,2400.0,1000.0,2400.0,1000.0,100.0,900.0,100.0,900.0,2400.0,
Seongbukdong,korean,,3303 W 6th St,Los Angeles,90020,2137388977.0,2.0,4.0,978,900.0,2400.0,900.0,2400.0,900.0,2400.0,900.0,2400.0,900.0,2400.0,900.0,2400.0,900.0,2400.0,
Tommy's Original World Famous Hamburgers,burgers,fast food,2575 Beverly Blvd,Los Angeles,90057,2133899060.0,1.0,4.0,1042,,,,,,,,,,,,,,,
Yup Dduk La,korean,,3603 W 6th St,Los Angeles,90020,2132632355.0,2.0,4.5,1060,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,
Yellow House Cafe,desserts,coffee & tea,234 S Oxford Ave,Los Angeles,90004,2133650820.0,2.0,4.0,939,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,200.0,1100.0,200.0,1100.0,2400.0,
Yuchun,korean,soup,3185 W Olympic Blvd,Los Angeles,90006,2133823815.0,2.0,4.0,928,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,,,
Gus's World Famous Fried Chicken,southern,chicken shop,1262 Crenshaw Blvd,Los Angeles,90019,3234020232.0,2.0,4.0,1013,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2100.0,
Gaam Restaurant and Lounge,asian fusion,lounges,3465 W 6th St,Los Angeles,90020,2133888850.0,2.0,3.5,911,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,
Hodori Restaurant,korean,,1001 S Vermont Ave,Los Angeles,90006,2133833554.0,2.0,3.5,904,,,,,,,,,,,,,,,
Honey Pig,korean,barbeque,3400 W 8th St,Los Angeles,90005,2133800256.0,2.0,3.5,872,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,
Bottega Louie,italian,bakeries,700 S Grand Ave,Los Angeles,90017,2138021470.0,2.0,4.0,14405,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2300.0,800.0,2300.0,800.0,2200.0,
Pink's Hot Dogs,hot dogs,,709 N La Brea Ave,Los Angeles,90038,3239314223.0,1.0,3.5,6427,930.0,200.0,930.0,200.0,930.0,200.0,930.0,200.0,930.0,300.0,930.0,300.0,930.0,200.0,
Perch,lounges,french,448 S Hill St,Los Angeles,90013,2138021770.0,3.0,4.0,5432,1600.0,100.0,1600.0,100.0,1600.0,100.0,1600.0,200.0,1600.0,200.0,1000.0,200.0,1000.0,100.0,
Eggslut,breakfast & brunch,,317 S Broadway,Los Angeles,90013,2136250292.0,1.0,4.0,4782,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,
Pizzeria Mozza,pizza,,641 N Highland Ave,Los Angeles,90036,3232970101.0,2.0,4.0,3763,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,
Masa of Echo Park,american (new),pizza,1800 W Sunset Blvd,Los Angeles,90026,2139891558.0,2.0,4.0,3519,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,
République,french,breakfast & brunch,624 S La Brea Ave,Los Angeles,90036,3103626115.0,2.0,4.0,3537,800.0,1500.0,1730.0,2200.0,800.0,1500.0,1730.0,2200.0,800.0,1500.0,1730.0,2200.0,800.0,1500.0,
Genwa Korean BBQ,korean,barbeque,5115 Wilshire Blvd,Los Angeles,90036,3235490760.0,2.0,4.5,2490,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1200.0,2200.0,1200.0,2200.0,
Original Pantry Cafe,american (traditional),breakfast & brunch,877 S Figueroa St,Los Angeles,90017,2139729279.0,2.0,3.5,2477,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,
Silverlake Ramen,ramen,sushi bars,2927 W Sunset Blvd,Los Angeles,90026,3236608100.0,2.0,4.0,2459,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,145.0,1130.0,145.0,1130.0,2300.0,
Bäco Mercat,mediterranean,spanish,408 S Main St,Los Angeles,90013,2136878808.0,2.0,4.0,2342,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,1730.0,2300.0,1130.0,1430.0,
Osteria Mozza,italian,wine bars,6602 Melrose Ave,Los Angeles,90038,3232970100.0,4.0,4.0,2418,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2300.0,1700.0,2300.0,1700.0,2200.0,
Providence,seafood,,5955 Melrose Ave,Los Angeles,90038,3234604170.0,4.0,4.5,2335,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1230.0,1400.0,1800.0,2200.0,1730.0,2200.0,
Nickel Diner,diners,breakfast & brunch,524 S Main St,Los Angeles,90013,2136238301.0,2.0,4.0,2234,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,,,
Tatsu Ramen,ramen,,7111 Melrose Ave,Los Angeles,90046,3237471388.0,2.0,4.0,2427,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,300.0,1100.0,300.0,1100.0,300.0,1100.0,200.0,
SUGARFISH by sushi nozawa,japanese,sushi bars,600 W 7th St,Los Angeles,90017,2136273000.0,3.0,4.0,2045,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1200.0,2100.0,
KazuNori  | The Original Hand Roll Bar,sushi bars,japanese,421 S Main St,Los Angeles,90013,2134936956.0,2.0,4.5,2005,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2300.0,1130.0,2400.0,1130.0,2400.0,1200.0,2200.0,
Yard House,bars,vegetarian,800 W Olympic Blvd,Los Angeles,90015,2137459273.0,2.0,3.5,2120,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,130.0,1100.0,130.0,1100.0,2400.0,
Mario's Peruvian & Seafood,seafood,peruvian,5786 Melrose Ave,Los Angeles,90038,3234664181.0,2.0,4.0,1981,1130.0,2000.0,1130.0,2000.0,1130.0,2000.0,1130.0,2000.0,1130.0,2130.0,1130.0,2130.0,1130.0,2000.0,
Mohawk Bend,gastropubs,,2141 W Sunset Blvd,Los Angeles,90026,2134832337.0,2.0,4.0,2006,1130.0,2330.0,1130.0,2330.0,1130.0,2330.0,1130.0,2330.0,1130.0,130.0,930.0,130.0,930.0,2330.0,
Cole's French Dip,bars,sandwiches,118 E 6th St,Los Angeles,90014,2136224090.0,2.0,3.5,1981,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,200.0,1200.0,200.0,1100.0,200.0,1100.0,2400.0,
Maccheroni Republic,italian,desserts,332 S Broadway,Los Angeles,90013,2133469725.0,2.0,4.0,2042,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,1730.0,2200.0,1130.0,1500.0,
Grand Central Market,food court,,317 S Broadway,Los Angeles,90013,2136242378.0,2.0,4.0,1874,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,
Faith & Flower,american (new),cocktail bars,705 W 9th St,Los Angeles,90015,2132390642.0,3.0,4.0,1848,1130.0,1430.0,1700.0,2200.0,1130.0,1430.0,1700.0,2200.0,1130.0,1430.0,1700.0,2200.0,1130.0,1430.0,
Takami Sushi & Robata Restaurant,sushi bars,japanese,811 Wilshire Blvd,Los Angeles,90017,2132369600.0,3.0,3.5,1860,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,
Grub,american (new),breakfast & brunch,911 Seward St,Los Angeles,90038,3234613663.0,2.0,4.0,1723,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,1100.0,1500.0,900.0,1500.0,900.0,1500.0,
Cafe Gratitude - Larchmont,live/raw food,vegetarian,639 N Larchmont Blvd,Los Angeles,90004,3235806383.0,2.0,4.0,1826,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,
Guisados,mexican,,1261 W Sunset Blvd,Los Angeles,90026,2132507600.0,1.0,4.5,1741,1030.0,2200.0,1030.0,2200.0,1030.0,2200.0,1030.0,2200.0,1030.0,2300.0,1030.0,2300.0,900.0,1700.0,
Water Grill- Los Angeles,seafood,,544 S Grand Ave,Los Angeles,90071,2138910900.0,3.0,4.0,1731,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1100.0,2300.0,1100.0,2200.0,
Jacks N Joe,breakfast & brunch,,2498 S Figueroa St,Los Angeles,90007,2137484565.0,2.0,4.0,1712,700.0,1330.0,700.0,1330.0,700.0,1330.0,700.0,1330.0,700.0,1330.0,800.0,1330.0,800.0,1330.0,
Library Bar,american (new),cocktail bars,630 W 6th St,Los Angeles,90017,2136140053.0,2.0,4.0,1592,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,
Tom's Urban - LA Live,american (new),sports bars,1011 S Figueroa St,Los Angeles,90015,2137468667.0,2.0,3.0,1778,1100.0,30.0,1100.0,30.0,1100.0,30.0,1100.0,30.0,1100.0,200.0,1100.0,200.0,1100.0,2400.0,
Wurstküche,hot dogs,german,800 E 3rd St,Los Angeles,90013,2136874444.0,2.0,4.0,7585,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,
Daikokuya Little Tokyo,ramen,noodles,327 E 1st St,Los Angeles,90012,2136261680.0,2.0,4.0,7367,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,100.0,1100.0,100.0,1100.0,2300.0,
Philippe the Original,sandwiches,breakfast & brunch,1001 N Alameda St,Los Angeles,90012,2136283781.0,1.0,4.0,5361,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,
Urth Caffé - Downtown,coffee & tea,desserts,451 S Hewitt St,Los Angeles,90013,2137974534.0,2.0,4.0,4552,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,600.0,2300.0,
Sushi Gen,sushi bars,japanese,422 E 2nd St,Los Angeles,90012,2136170552.0,3.0,4.5,3336,1130.0,1400.0,1730.0,2130.0,1130.0,1400.0,1730.0,2130.0,1130.0,1400.0,1730.0,2130.0,1130.0,1400.0,
Orochon Ramen,ramen,noodles,123 Astronaut E S Onizuka St,Los Angeles,90012,2136171766.0,1.0,3.5,2844,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2300.0,1130.0,2300.0,1130.0,2230.0,
The Pie Hole,coffee & tea,american (traditional),714 Traction Ave,Los Angeles,90013,2135370115.0,2.0,4.0,2772,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2300.0,900.0,2400.0,900.0,2400.0,900.0,2300.0,
Marugame Monzo,japanese,noodles,329 E 1st St,Los Angeles,90012,2133469762.0,2.0,4.5,2714,1130.0,1430.0,1700.0,2200.0,1130.0,1430.0,1700.0,2200.0,1130.0,1430.0,1700.0,2200.0,1130.0,1430.0,
Howlin' Ray's,southern,chicken shop,727 N Broadway,Los Angeles,90012,2139358399.0,2.0,4.5,2727,1100.0,1600.0,1100.0,1600.0,1100.0,1600.0,1100.0,1600.0,1000.0,1600.0,1000.0,1600.0,,,
Shin-Sen-Gumi Hakata Ramen - Little Tokyo,ramen,,132 S Central Ave,Los Angeles,90012,2136877108.0,2.0,4.0,2202,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,
Kogi BBQ Truck - Azul,korean,food trucks,,Los Angeles,,3233150253.0,1.0,3.5,2059,1800.0,2400.0,1200.0,1500.0,1800.0,2400.0,1200.0,1500.0,1800.0,2400.0,1200.0,1500.0,1800.0,2400.0,
Cafe Dulce,coffee & tea,bakeries,134 Japanese Village Plz,Los Angeles,90012,2133469910.0,1.0,4.0,1900,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,
Yang Chow,chinese,,819 N Broadway,Los Angeles,90012,2136250811.0,2.0,4.0,1917,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2230.0,1130.0,2230.0,1130.0,2130.0,
Far Bar,asian fusion,cocktail bars,347 E 1st St,Los Angeles,90012,2136179990.0,2.0,3.5,1783,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,
Church & State,french,bars,1850 Industrial St,Los Angeles,90021,2134051434.0,3.0,3.5,1613,1130.0,1430.0,1730.0,2100.0,1130.0,1430.0,1730.0,2100.0,1130.0,1430.0,1730.0,2100.0,1130.0,1430.0,
Taqueria Los Anaya,mexican,,4651 W Adams Blvd,Los Angeles,90016,3237314070.0,1.0,4.5,877,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,800.0,1700.0,
Post & Beam,pizza,southern,3767 Santa Rosalia Dr,Los Angeles,90008,3232995599.0,2.0,3.5,678,1600.0,2200.0,1600.0,2200.0,1600.0,2200.0,1600.0,2300.0,1130.0,2300.0,1100.0,2100.0,,,
Harold & Belle's,cajun/creole,southern,2920 W Jefferson Blvd,Los Angeles,90018,3237359918.0,2.0,3.5,647,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1130.0,2300.0,1130.0,2200.0,
Honey Bee's House of Breakfast,breakfast & brunch,salvadoran,4715 W Adams Blvd,Los Angeles,90016,3237317203.0,1.0,4.0,614,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,
Phillips Barbecue,barbeque,,2619 Crenshaw Blvd,Los Angeles,90016,3237314772.0,2.0,4.0,406,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1100.0,1800.0,,,
Buffalo Wild Wings,chicken wings,sports bars,3939 E Crenshaw Blvd,Los Angeles,90008,3235964955.0,2.0,2.5,462,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,100.0,1100.0,100.0,1100.0,2400.0,
Dulan's On Crenshaw,soul food,,4859 Crenshaw Blvd,Los Angeles,90043,3232963034.0,2.0,4.0,398,1100.0,2000.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2000.0,
Mel's Fish Shack,seafood markets,fish & chips,4524 W Jefferson Blvd,Los Angeles,90016,3237326357.0,2.0,4.0,330,1100.0,2000.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2000.0,
Mexicano,mexican,cocktail bars,3650 W Martin Luther King Jr Blvd,Los Angeles,90008,3232960798.0,2.0,3.5,313,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1130.0,2300.0,1130.0,2200.0,,,
Ackee Bamboo Jamaican Cuisine,caribbean,,4305 Degnan Blvd,Los Angeles,90008,3232957275.0,2.0,4.0,270,1100.0,2000.0,1100.0,2000.0,1100.0,2000.0,1100.0,2100.0,1100.0,2100.0,1130.0,1800.0,,,
Brooklyn Deli & Mini Market,sandwiches,delis,4308 Crenshaw Blvd,Los Angeles,90008,3479818408.0,1.0,5.0,199,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,2100.0,1000.0,2100.0,,,
The Cork,american (traditional),,4771 W Adams Blvd,Los Angeles,90016,3237312030.0,2.0,4.0,179,1200.0,200.0,1200.0,200.0,1200.0,200.0,1200.0,200.0,1200.0,200.0,1200.0,200.0,1200.0,200.0,
Michelle's Country Diner,burgers,diners,4070 Marlton Ave,Los Angeles,90008,3232900575.0,2.0,3.5,205,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,
CJ's Cafe,soul food,breakfast & brunch,3655 S La Brea Ave,Los Angeles,90016,3232929221.0,2.0,3.5,167,630.0,1800.0,630.0,1800.0,630.0,1800.0,630.0,1800.0,630.0,1800.0,630.0,1800.0,700.0,1700.0,
