name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
Maccheroni Republic,Italian,Mediterranean,332 S Broadway,Los Angeles,90013,2133469725.0,2.5,4.5,188,1630.0,2100.0,1130.0,1500.0,1130.0,1500.0,1130.0,1500.0,1130.0,1500.0,1130.0,1500.0,1730.0,2200.0
Toast Bakery Cafe,American,Cafe,8221 W 3rd St,Los Angeles,90048,3236555018.0,2.5,4.5,293,730.0,1800.0,730.0,1800.0,730.0,1800.0,730.0,1800.0,730.0,1800.0,730.0,1800.0,730.0,1800.0
Sushi Gen,Japanese,Sushi,422 E 2nd St,Los Angeles,90012,2136170552.0,2.5,4.5,389,,,,,1115.0,1400.0,1115.0,1400.0,1115.0,1400.0,1115.0,1400.0,1700.0,2200.0
Luggage Room Pizzeria,Pizza,Vegetarian Friendly,260 S Raymond Ave,Pasadena,91105,6263564440.0,2.5,4.5,161,2400.0,2100.0,1700.0,2200.0,1700.0,2200.0,1700.0,2200.0,1700.0,2200.0,1600.0,2300.0,2400.0,2300.0
Madeo,Italian,Vegetarian Friendly,8897 Beverly Blvd,Los Angeles,90048,3108594903.0,4.0,4.5,304,1730.0,2230.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0
Aroma Cafe,American,Cafe,4360 Tujunga Ave,Los Angeles,91604,8185080677.0,2.5,4.5,246,630.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0
Pampas Grill,Barbecue,South American,6333 W 3rd St,Los Angeles,90036,3239346680.0,1.0,4.5,228,1030.0,1900.0,1030.0,2100.0,1030.0,2100.0,1030.0,2100.0,1030.0,2100.0,1030.0,2130.0,1030.0,2130.0
The Griddle Cafe,American,Cafe,7916 W Sunset Blvd,Los Angeles,90046,3238740377.0,2.5,4.5,1376,800.0,1600.0,700.0,1600.0,700.0,1600.0,700.0,1600.0,700.0,1600.0,700.0,1600.0,800.0,1600.0
The Bazaar by Jose Andres,Spanish,Vegetarian Friendly,465 S La Cienega Blvd,Los Angeles,90048,3102465555.0,4.0,4.5,991,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2300.0,1800.0,2300.0,1730.0,2300.0
Magic Castle,American,Vegetarian Friendly,7001 Franklin Ave,Los Angeles,90028,3238513313.0,4.0,4.5,352,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0
Carlitos Gardel,Steakhouse,Latin,7963 Melrose Ave,Los Angeles,90046,3236550891.0,4.0,4.5,185,1700.0,2200.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1800.0,2300.0
Genwa,Barbecue,Asian,5115 Wilshire Blvd Ste A,Los Angeles,90036,3235490760.0,2.5,4.5,158,2400.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,2400.0,2200.0
Republique,French,American,624 S La Brea Ave,Los Angeles,90036,3103626115.0,2.5,4.5,397,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0
Cafe Gratitude,Cafe,Vegetarian Friendly,639 N Larchmont Blvd,Los Angeles,90004,3235806383.0,2.5,4.5,225,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
Gjusta,American,Cafe,320 Sunset Ave,Los Angeles,90291,3103140320.0,2.5,4.5,196,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0
Foxy's Restaurant,American,Delicatessen,206 W Colorado St,Glendale,91204,8182460244.0,2.5,4.5,319,600.0,2200.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,1200.0,600.0,1200.0
Redbird,American,Vegetarian Friendly,114 E 2nd St,Los Angeles,90012,2137881191.0,4.0,4.5,185,1000.0,1400.0,1700.0,2230.0,1700.0,2230.0,1700.0,2230.0,1700.0,2230.0,1700.0,2230.0,1000.0,1400.0
Water Grill,American,Seafood,544 S Grand Ave,Los Angeles,90071,2138910900.0,4.0,4.5,737,1600.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1700.0,2300.0
Lemonade,American,Vegetarian Friendly,1661 Abbot Kinney Blvd,Los Angeles,90291,3104526200.0,2.5,4.5,350,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0
Parkway Grill,American,Vegetarian Friendly,510 S Arroyo Pkwy,Pasadena,91105,6267951001.0,4.0,4.5,283,1700.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2230.0,1730.0,2230.0
The Veggie Grill,American,Fast Food,8000 W Sunset Blvd,Los Angeles,90046,3238227575.0,1.0,4.5,174,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0
Philippe the Original,American,Soups,1001 N Alameda St,Los Angeles,90012,2136283781.0,1.0,4.5,1889,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0
Julienne,American,Cafe,2649 Mission St,San Marino,91108,6264412299.0,2.5,4.5,156,,,700.0,1045.0,700.0,1045.0,700.0,1045.0,700.0,1045.0,700.0,1045.0,730.0,1100.0
Raffi's Place Restaurant,Mediterranean,Middle Eastern,211 E Broadway,Glendale,91205,8182407411.0,2.5,4.5,319,1130.0,2100.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0
Aliki's Greek Taverna,Mediterranean,Greek,5862 Arbor Vitae St,Los Angeles,90045,3106459555.0,2.5,4.5,329,,,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0
Wurstkuche,American,German,800 E 3rd St,Los Angeles,90013,2136874444.0,2.5,4.5,488,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
La Grande Orange Cafe,American,Vegetarian Friendly,260 S Raymond Ave,Pasadena,91105,6263564444.0,2.5,4.5,493,1000.0,2100.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1000.0,2200.0
Ayara Thai Cuisine,Asian,Thai,6245 W 87th St,Los Angeles,90045,3104108848.0,2.5,4.5,207,1100.0,2200.0,1030.0,2200.0,1030.0,2200.0,1030.0,2200.0,1030.0,2200.0,1030.0,1200.0,1100.0,1200.0
Cassell's Hamburgers,American,,3600 W 6th St,Los Angeles,90020,2133875502.0,2.5,4.5,163,800.0,2300.0,800.0,2300.0,800.0,2300.0,800.0,2300.0,800.0,2300.0,800.0,1400.0,800.0,1400.0
The Terrace,American,Seafood,8358 W Sunset Blvd,West Hollywood,90069,3236547100.0,2.5,4.5,136,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2330.0,1800.0,2330.0
Nickel Diner,American,Vegetarian Friendly,524 S Main St,Los Angeles,90013,2136238301.0,2.5,4.5,247,800.0,1530.0,,,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0
Perch,French,American,448 S Hill St,Los Angeles,90013,2138021770.0,2.5,4.5,712,,,,,,,,,,,,,,
Craft Los Angeles,American,Vegetarian Friendly,10100 Constellation Blvd,Los Angeles,90067,3102794180.0,4.0,4.5,472,,,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1730.0,2130.0
Joan's on Third,American,Cafe,8350 W 3rd St,Los Angeles,90048,3236552285.0,2.5,4.5,466,800.0,1800.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0
Baco Mercat,Spanish,Middle Eastern,408 S Main St,Los Angeles,90013,2136877000.0,2.5,4.5,282,1700.0,2200.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1500.0,1130.0,1500.0
Vivian's Millenium Cafe,American,Cafe,10968 Ventura Blvd,Los Angeles,91604,8187628710.0,2.5,4.5,132,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0,800.0,1530.0
Truxton's American Bistro,American,Vegetarian Friendly,8611 Truxton Ave,Los Angeles,90045,3104178789.0,2.5,4.5,206,900.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,900.0,2200.0
Tatsu Ramen,Japanese,Asian,2123 Sawtelle Blvd,Los Angeles,90025,3106842889.0,2.5,4.5,110,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,300.0,1100.0,300.0,1100.0,300.0
The Factory Kitchen,Italian,Vegetarian Friendly,1300 Factory Pl Ste 101,Los Angeles,90013,2139966000.0,2.5,4.5,202,1730.0,2200.0,1730.0,2200.0,1730.0,2230.0,1730.0,2230.0,1730.0,2230.0,1730.0,2300.0,1730.0,2300.0
Cleo,Mediterranean,Middle Eastern,1717 Vine St,Los Angeles,90028,3239621711.0,2.5,4.5,379,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,1200.0,1800.0,1200.0
Bestia Restaurant,Italian,Vegetarian Friendly,2121 E 7th Pl,Los Angeles,90021,2135145724.0,4.0,4.5,488,1700.0,2300.0,1700.0,2300.0,1700.0,2300.0,1700.0,2300.0,1700.0,2300.0,1700.0,1200.0,1700.0,1200.0
Houston's,American,Sushi,320 S Arroyo Pkwy,Pasadena,91105,6265776001.0,2.5,4.5,542,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0
SUGARFISH by sushi nozawa,Japanese,Seafood,600 W 7th St,Los Angeles,90017,2136273000.0,2.5,4.5,342,2400.0,2100.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0
The Butcher's Daughter,American,Vegetarian Friendly,1205 Abbot Kinney Blvd,Los Angeles,90291,3109813004.0,2.5,4.5,240,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
Animal,American,,435 N Fairfax Ave,Los Angeles,90036,3237829225.0,4.0,4.5,259,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,2300.0,1800.0,100.0,1800.0,100.0
Russell's,American,Vegetarian Friendly,30 N Fair Oaks Ave,Pasadena,91103,6265781404.0,2.5,4.5,325,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0
26 Beach Cafe,American,Vegetarian Friendly,3100 Washington Blvd,Los Angeles,90292,3108237526.0,2.5,4.5,242,800.0,2100.0,1000.0,2130.0,1000.0,2130.0,1000.0,2130.0,1000.0,2130.0,1000.0,2200.0,800.0,2200.0
Monsieur Marcel's,French,Vegetarian Friendly,6333 W 3rd St,Los Angeles,90036,3239397792.0,2.5,4.5,190,1030.0,2030.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1030.0,2130.0
Off Vine,American,Vegetarian Friendly,6263 Leland Way,Los Angeles,90028,3239621900.0,2.5,4.5,253,1030.0,2200.0,1130.0,2200.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1030.0,2230.0
Eggslut,American,Cafe,317 S Broadway,Los Angeles,90013,2136250292.0,1.0,4.5,414,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
Bossa Nova,Italian,South American,7181 W Sunset Blvd,Los Angeles,90046,3234367999.0,2.5,4.5,419,1100.0,330.0,1100.0,330.0,1100.0,330.0,1100.0,330.0,1100.0,330.0,1100.0,330.0,1100.0,330.0
Baby Blues BBQ,American,Barbecue,444 Lincoln Blvd,Los Angeles,90291,3103967675.0,2.5,4.5,309,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2200.0,1130.0,2200.0
Gus's Barbecue,American,Barbecue,808 Fair Oaks Ave,South Pasadena,91030,6267993251.0,2.5,4.5,206,830.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,830.0,2300.0
Guisados,Mexican,Latin,1261 W Sunset Blvd,Los Angeles,90026,2132507600.0,1.0,4.5,106,900.0,1700.0,1030.0,2200.0,1030.0,2200.0,1030.0,2200.0,1030.0,2200.0,1030.0,2300.0,1030.0,2300.0
Sushi A Go Go,Japanese,International,6333 W 3rd St,Los Angeles,90036,3239307874.0,1.0,4.5,739,1000.0,1900.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2000.0
The Ivy,American,Vegetarian Friendly,113 N Robertson Blvd,Los Angeles,90048,3102748303.0,4.0,4.0,1775,800.0,2300.0,800.0,2300.0,800.0,2300.0,800.0,2300.0,800.0,2300.0,800.0,2300.0,800.0,2300.0
Good Neighbor,American,Vegetarian Friendly,3701 Cahuenga Blvd,Los Angeles,91604,8184576050.0,1.0,4.5,115,700.0,1500.0,700.0,1500.0,700.0,1500.0,700.0,1500.0,700.0,1500.0,700.0,1500.0,700.0,1500.0
Gale's Italian Restaurant and Bar,Italian,Vegetarian Friendly,452 S Fair Oaks Ave,Pasadena,91105,6264326705.0,2.5,4.5,327,1700.0,2100.0,,,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2200.0,1130.0,2200.0
Alcove Cafe & Bakery,American,Cafe,1929 Hillhurst Ave,Los Angeles,90027,3236440100.0,2.5,4.5,296,700.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,100.0,600.0,100.0,600.0,100.0
RockSugar Pan Asian Kitchen,Chinese,Asian,10250 Santa Monica Blvd,Los Angeles,90067,3105529988.0,2.5,4.5,416,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1130.0,2300.0
California Pizza Kitchen,Italian,American,6801 Hollywood Blvd,Los Angeles,90028,3234602080.0,2.5,4.5,600,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1130.0,2300.0
A.O.C.,Vegetarian Friendly,Vegan Options,8700 W 3rd St,Los Angeles,90048,3108599859.0,2.5,4.5,392,1730.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2300.0,1730.0,2300.0
Musso & Frank Grill,Steakhouse,American,6667 Hollywood Blvd,Los Angeles,90028,3234677788.0,4.0,4.5,912,1600.0,2100.0,,,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0
Granville,American,Vegetarian Friendly,807 Americana Way,Glendale,91210,8185500472.0,2.5,4.5,161,900.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,900.0,2300.0
Urth Caffe,American,Cafe,451 S Hewitt St,Los Angeles,90013,2137974534.0,2.5,4.5,229,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,1200.0,600.0,1200.0
Stout Burgers & Beers,American,,1544 N Cahuenga Blvd,Los Angeles,90028,3234693801.0,2.5,4.5,143,1130.0,400.0,1130.0,400.0,1130.0,400.0,1130.0,400.0,1130.0,400.0,1130.0,400.0,1130.0,400.0
Getty Center Restaurant,American,Vegetarian Friendly,1200 Getty Center Dr,Los Angeles,90049,3104406810.0,4.0,4.5,575,1100.0,1500.0,,,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1500.0,1130.0,1500.0
Culina,Italian,Vegetarian Friendly,300 S Doheny Dr,Los Angeles,90048,3108604000.0,4.0,4.5,244,1000.0,1400.0,1800.0,2230.0,1800.0,2230.0,1800.0,2230.0,630.0,1430.0,630.0,1430.0,630.0,1430.0
Pizzeria Mozza,Italian,Pizza,641 N Highland Ave,Los Angeles,90036,3232970101.0,2.5,4.0,623,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0
25 Degrees,American,Vegetarian Friendly,7000 Hollywood Blvd,Los Angeles,90028,3237857244.0,2.5,4.5,690,1200.0,2200.0,,,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0
In-N-Out Burgers,American,Fast Food,13425 Washington Blvd,Los Angeles,90292,8007861000.0,1.0,4.5,214,1030.0,100.0,1030.0,100.0,1030.0,100.0,1030.0,100.0,1030.0,100.0,1030.0,130.0,1030.0,130.0
The Boiling Crab,Seafood,,3377 Wilshire Blvd,Los Angeles,90010,2133892722.0,2.5,4.5,189,2400.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,2400.0,2200.0
DeSano Pizza Bakery,Italian,Pizza,4959 Santa Monica Blvd,Los Angeles,90029,3239137000.0,1.0,4.5,95,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0
Yang Chow,Chinese,Asian,819 N Broadway,Los Angeles,90012,2136250811.0,2.5,4.5,307,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2230.0,1130.0,2230.0
Katsuya,Japanese,Sushi,6300 Hollywood Blvd,Los Angeles,90028,3238718777.0,4.0,4.5,479,1700.0,2200.0,1700.0,2200.0,1700.0,2200.0,1700.0,2200.0,1130.0,1430.0,1130.0,1430.0,1700.0,2300.0
Cafe Bizou,French,American,14016 Ventura Blvd,Los Angeles,91423,8187883536.0,2.5,4.5,240,1100.0,2200.0,1700.0,1900.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0
Canter's Deli,American,Vegetarian Friendly,419 N Fairfax Ave,Los Angeles,90036,3236512030.0,2.5,4.0,638,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0
Ca' Del Sole,Italian,Vegetarian Friendly,4100 Cahuenga Blvd,Los Angeles,91602,8189854669.0,2.5,4.5,156,1100.0,2100.0,1130.0,1500.0,1130.0,1500.0,1130.0,1500.0,1130.0,1500.0,1130.0,1500.0,1700.0,2230.0
Daikokuya,Japanese,Asian,2208 Sawtelle Blvd,Los Angeles,90064,3105754999.0,1.0,4.5,226,1100.0,2300.0,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0,1100.0,100.0,1100.0,100.0
Arroyo Chop House,American,Steakhouse,536 S Arroyo Pkwy,Pasadena,91105,6265777463.0,4.0,4.5,208,1700.0,2130.0,1700.0,2130.0,1700.0,2130.0,1700.0,2130.0,1700.0,2130.0,1700.0,2200.0,1700.0,2200.0
The Counter Downtown L.A.,American,Gluten Free Options,725 W 7th St,Los Angeles,90017,2132287800.0,2.5,4.5,213,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,1200.0,1100.0,1200.0
Rainbow Bar & Grill,American,,9015 W Sunset Blvd,Los Angeles,90069,3102784232.0,2.5,4.5,380,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
Crossroads,American,Vegetarian Friendly,8284 Melrose Ave,Los Angeles,90046,3237829245.0,4.0,4.5,230,1700.0,2200.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1700.0,100.0
Pink's Hot Dogs,American,Fast Food,709 N La Brea Ave,West Hollywood,90038,3239314223.0,1.0,4.0,1416,930.0,200.0,930.0,200.0,930.0,200.0,930.0,200.0,930.0,200.0,930.0,300.0,930.0,300.0
Ruby's Diner,American,Vegetarian Friendly,100 Citadel Dr Ste 222,Los Angeles,90040,3233827829.0,2.5,4.5,223,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0
Fogo de Chao Brazilian Steakhouse,Steakhouse,Gluten Free Options,800 S Figueroa St,Los Angeles,90017,2132284300.0,4.0,4.5,205,1130.0,1400.0,1130.0,1400.0,1130.0,1400.0,1130.0,1400.0,1130.0,1400.0,1130.0,1400.0,1130.0,2230.0
Cafe Santorini,Mediterranean,Greek,64 W Union St,Pasadena,91103,6265644200.0,2.5,4.5,385,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,1200.0,1100.0,1200.0
Drago Centro,Italian,Gluten Free Options,525 S Flower St Ste 120,Los Angeles,90071,2132288998.0,4.0,4.0,251,1700.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1700.0,2200.0
The Front Yard,American,Gluten Free Options,4222 Vineland Ave,Los Angeles,91602,8182557290.0,2.5,4.5,420,600.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,100.0,600.0,100.0
In-N-Out Burger,American,Fast Food,7009 W Sunset Blvd,West Hollywood,90028,8007861000.0,1.0,4.0,786,1030.0,100.0,1030.0,100.0,1030.0,100.0,1030.0,100.0,1030.0,100.0,1030.0,130.0,1030.0,130.0
Flake,American,Cafe,513 Rose Ave,Los Angeles,90291,3103962333.0,1.0,4.5,81,700.0,1530.0,700.0,1530.0,700.0,1530.0,700.0,1530.0,700.0,1530.0,700.0,1530.0,700.0,1530.0
Genwa Korean BBQ,Barbecue,Asian,170 N La Cienega Blvd,Beverly Hills,90211,3108540046.0,2.5,4.5,100,2400.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,2400.0,2200.0
The Little Door,French,Mediterranean,8164 W 3rd St,Los Angeles,90048,3239511210.0,4.0,4.5,241,1800.0,2330.0,1800.0,2330.0,1800.0,2330.0,1800.0,1230.0,1800.0,1230.0,1800.0,130.0,1800.0,130.0
Apple Pan,American,Fast Food,10801 W Pico Blvd,Los Angeles,90064,3104753585.0,1.0,4.0,312,1100.0,1200.0,,,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0
Otium Restaurant,American,International,222 S Hope St,Los Angeles,90012,2139358500.0,4.0,4.0,287,1700.0,2200.0,,,1130.0,1500.0,1130.0,1500.0,1130.0,1500.0,1130.0,1500.0,1700.0,2300.0
Mohawk Bend,American,Vegetarian Friendly,2141 W Sunset Blvd,Los Angeles,90026,2134832337.0,2.5,4.5,128,930.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,1200.0,2400.0,200.0,930.0,200.0
Venice Ale House,American,,2 Rose Ave,Los Angeles,90291,3103148253.0,2.5,4.0,364,900.0,1200.0,1000.0,1200.0,1000.0,1200.0,1000.0,1200.0,1000.0,1200.0,1000.0,1200.0,900.0,1200.0
El Tepeyac,Mexican,Latin,812 N Evergreen Ave,Los Angeles,90033,3232678668.0,1.0,4.5,202,600.0,2145.0,600.0,2000.0,600.0,2000.0,600.0,2145.0,600.0,2145.0,600.0,2300.0,600.0,2300.0
Spice Affair,Indian,Asian,50 N La Cienega Blvd,Beverly Hills,90211,3104006800.0,4.0,4.5,149,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0,1130.0,1430.0
El Compadre,Mexican,Latin,7408 W Sunset Blvd,Los Angeles,90046,3238747924.0,2.5,4.5,246,1130.0,200.0,1130.0,200.0,1130.0,200.0,1130.0,200.0,1130.0,200.0,1130.0,200.0,1130.0,200.0
Wurstkuche,German,,625 Lincoln Blvd,Los Angeles,90291,2136874444.0,2.5,4.5,102,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0,1100.0,1200.0
WP24,Chinese,Asian,"The Ritz-Carlton, 24th Floor",Los Angeles,,2137438824.0,4.0,4.0,272,,,,,1730.0,2130.0,1730.0,2130.0,1730.0,2130.0,1730.0,2130.0,1730.0,2130.0
